ts_close_iso,timeframe,symbol,btc_symbol,close_alt,close_btc,ratio,z,z_window,dp6h,dp12h,atr_ratio,qv_24h,vol_surge_mult,mom,breadth,universe_n,top_n,in_cands,pairs_signal
2025-08-12 12:48:00 UTC,1h,ALGO-USDT,BTC-USDT,0.2606,118947.9,2.190875165e-06,,30,0.0263883,0.0203602,0.0136498,4.40717e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ALPHA-USDT,BTC-USDT,0.01579,118947.9,1.327471944e-07,,30,0.0173969,0.00701531,0.015878,1.9624e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ALPINE-USDT,BTC-USDT,1.3988,118947.9,1.175977045e-05,,30,-0.145145,-0.0466194,0.0577434,8.74418e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ALT-USDT,BTC-USDT,0.03652,118947.9,3.070251766e-07,,30,0.0509353,0.0386803,0.0217885,5.70402e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ALTCOIN-USDT,BTC-USDT,239.1,118947.9,0.00201012376,,30,0.0161064,0.0139519,0.0079375,1.9275e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ANIME-USDT,BTC-USDT,0.01743,118947.9,1.465347434e-07,,30,0.0175131,0.00577034,0.0138103,6.58551e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ANKR-USDT,BTC-USDT,0.01608,118947.9,1.351852366e-07,,30,0.0157928,0.00562852,0.0118159,341606,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,APE-USDT,BTC-USDT,0.6197,118947.9,5.209843974e-06,,30,0.0159016,0.00911904,0.0111459,6.50847e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,API3-USDT,BTC-USDT,0.737,118947.9,6.195990009e-06,,30,0.023469,0.0101425,0.0131808,6.63085e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,APT-USDT,BTC-USDT,4.6448,118947.9,3.904902903e-05,,30,0.01757,0.0158119,0.0114644,1.11805e+07,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,AR-USDT,BTC-USDT,7.679,118947.9,6.455767609e-05,,30,0.0532163,0.0299088,0.0172642,2.54364e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ARB-USDT,BTC-USDT,0.4603,118947.9,3.869761467e-06,,30,0.0482806,0.0430546,0.0162472,1.50182e+07,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ARC-USDT,BTC-USDT,0.02362,118947.9,1.985743338e-07,,30,0.0346036,0.0194217,0.023497,7.49372e+06,0,0,0.556818,465,4,0,HOLD
2025-08-12 12:48:00 UTC,1h,ARK-USDT,BTC-USDT,0.4476,118947.9,3.762992033e-06,,30,0.0133575,0.0099278,0.0135165,2.07034e+06,0,0,0.556818,465,4,0,HOLD
