ts,symbol,side,entry_price,notional
2025-08-12 19:43:05 UTC,HIFI-USDT,OPEN,0.10171,20.0
2025-08-12 20:00:00 UTC,JASMY-USDT,OPEN,0.018939,20.0
2025-08-12 20:00:01 UTC,WCT-USDT,OPEN,0.3476,20.0
2025-08-12 20:00:01 UTC,CUDIS-USDT,OPEN,0.0757,20.0
