ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-16T20:21:17,strategy_params.tp_atr_mult,3.2,102.015265,1.405897,-1.358,6.593,104,1.1389148235321045,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p2.yaml,29.34484862727273
2025-09-16T20:21:18,strategy_params.tp_atr_mult,3.4,102.106104,1.438717,-1.375,6.828,102,1.1672425270080566,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p4.yaml,30.378290854545455
2025-09-16T20:21:19,strategy_params.tp_atr_mult,3.6,102.140474,1.503908,-1.244,6.907,96,1.1252846717834473,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p6.yaml,30.68242936363636
2025-09-16T20:21:20,strategy_params.tp_atr_mult,3.8,102.642397,1.664371,-1.21,8.527,89,1.2702856063842773,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_3p8.yaml,37.395916684090906
2025-09-16T20:21:20,strategy_params.tp_atr_mult,4.0,103.060039,1.77849,-1.21,9.851,88,1.2882182598114014,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p0.yaml,43.1598433
2025-09-16T20:21:21,strategy_params.tp_atr_mult,4.2,103.038264,1.7467,-1.092,9.757,88,1.1850080490112305,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p2.yaml,42.548564799999994
2025-09-16T20:21:22,strategy_params.tp_atr_mult,4.4,102.440719,1.777956,-1.254,7.754,76,1.1801187992095947,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p4.yaml,34.00380121818182
2025-09-16T20:21:24,strategy_params.tp_atr_mult,4.6,102.485955,1.804588,-1.254,7.894,74,1.1546618938446045,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p6.yaml,34.48553916818182
2025-09-16T20:21:25,strategy_params.tp_atr_mult,4.8,102.327209,1.823153,-1.254,7.404,70,1.2588176727294922,t3m_30d_20250916_202114/tune_tmp/t3m_30d_s1_rays_strategy_params.tp_atr_mult_4p8.yaml,32.44377965909091
