symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,realized_pnl
MEME/USDT:USDT,LONG,2025-08-13T00:00:00+00:00,2025-08-13T20:00:00+00:00,0.001831,0.001944,0.0019315551079467457,0.0018005109876779546,TP,0.061714909885308596,0.05911490988530859,80.0,4.729192790824687
MEME/USDT:USDT,LONG,2025-08-13T20:00:00+00:00,2025-08-14T09:00:00+00:00,0.001944,0.002085,0.002064332187733383,0.0019075144387047467,TP,0.0725308641975309,0.06993086419753089,80.0,5.594469135802472
AIOT/USDT:USDT,LONG,2025-08-14T09:00:00+00:00,2025-08-14T12:00:00+00:00,0.62328,0.59757,0.6567901490597269,0.6131194883317446,SL,-0.04124951867539453,-0.043849518675394536,80.0,-3.507961494031563
AIOT/USDT:USDT,LONG,2025-08-14T14:00:00+00:00,2025-08-15T05:00:00+00:00,0.6272,0.70539,0.6935395141069071,0.6070853951395967,TP,0.12466517857142854,0.12206517857142854,80.0,9.765214285714283
AIOT/USDT:USDT,LONG,2025-08-15T05:00:00+00:00,2025-08-16T14:00:00+00:00,0.70539,0.77391,0.767005389981136,0.6867077826296264,TP,0.09713775358312426,0.09453775358312426,80.0,7.563020286649941
AIOT/USDT:USDT,LONG,2025-08-16T14:00:00+00:00,2025-08-17T02:00:00+00:00,0.77391,0.8463,0.8280153707231657,0.7575048730168827,TP,0.09353800829553832,0.09093800829553832,80.0,7.275040663643066
AIOT/USDT:USDT,LONG,2025-08-17T02:00:00+00:00,2025-08-17T12:00:00+00:00,0.8463,0.96607,0.9612736000000001,0.8114392,TP,0.1415219189412737,0.1389219189412737,80.0,11.113753515301896
AIOT/USDT:USDT,LONG,2025-08-17T12:00:00+00:00,2025-08-18T15:00:00+00:00,0.96607,1.12767,1.1251448998292424,0.9178373773112501,TP,0.1672756632542155,0.1646756632542155,80.0,13.17405306033724
AIOT/USDT:USDT,LONG,2025-08-18T15:00:00+00:00,2025-08-18T22:00:00+00:00,1.12767,1.29627,1.267198934485009,1.0853638507683938,TP,0.1495118252680306,0.14691182526803062,80.0,11.75294602144245
BIO/USDT:USDT,LONG,2025-08-19T06:00:00+00:00,2025-08-19T07:00:00+00:00,0.13977,0.13355,0.15930439075123123,0.133847036040443,SL,-0.04450168133361954,-0.04710168133361955,80.0,-3.768134506689564
AIOT/USDT:USDT,LONG,2025-08-18T22:00:00+00:00,2025-08-19T09:00:00+00:00,1.29627,1.53433,1.4751066276766436,1.2420454831534375,TP,0.18365001118594115,0.18105001118594116,80.0,14.484000894875294
AIOT/USDT:USDT,LONG,2025-08-19T09:00:00+00:00,2025-08-19T11:00:00+00:00,1.53433,1.84697,1.7800551156539914,1.4598244255743,TP,0.2037632060899546,0.2011632060899546,80.0,16.093056487196367
AIOT/USDT:USDT,LONG,2025-08-19T11:00:00+00:00,2025-08-19T13:00:00+00:00,1.84697,1.72855,2.1831423022730845,1.7450402057247791,SL,-0.06411582213029988,-0.06671582213029989,80.0,-5.337265770423992
BIO/USDT:USDT,LONG,2025-08-19T12:00:00+00:00,2025-08-19T15:00:00+00:00,0.1419,0.13425,0.16254342070788422,0.13564077039760944,SL,-0.0539112050739957,-0.05651120507399571,80.0,-4.520896405919657
VELVET/USDT:USDT,LONG,2025-08-19T13:00:00+00:00,2025-08-19T18:00:00+00:00,0.05924,0.06533,0.0641811295071552,0.057741814959929624,TP,0.1028021607022282,0.10020216070222819,80.0,8.016172856178255
AIOT/USDT:USDT,LONG,2025-08-19T20:00:00+00:00,2025-08-19T21:00:00+00:00,1.98259,1.76899,2.48068143645457,1.831565191279081,SL,-0.10773785805436323,-0.11033785805436323,80.0,-8.827028644349058
REX/USDT:USDT,LONG,2025-08-19T22:00:00+00:00,2025-08-20T00:00:00+00:00,0.03848,0.03637,0.04216519280701668,0.0373626237553069,SL,-0.05483367983367985,-0.057433679833679856,80.0,-4.594694386694388
MEME/USDT:USDT,LONG,2025-08-20T08:00:00+00:00,2025-08-20T14:00:00+00:00,0.002343,0.002564,0.0025445569225762536,0.0022818865307640515,TP,0.09432351685872806,0.09172351685872805,80.0,7.337881348698244
BIO/USDT:USDT,LONG,2025-08-20T14:00:00+00:00,2025-08-20T15:00:00+00:00,0.16641,0.14594,0.1882456447668614,0.15978927972083504,SL,-0.12300943452917502,-0.12560943452917503,80.0,-10.048754762334003
MEME/USDT:USDT,LONG,2025-08-20T15:00:00+00:00,2025-08-20T17:00:00+00:00,0.00262,0.002947,0.002944156361269271,0.0025217135231136905,TP,0.12480916030534353,0.12220916030534353,80.0,9.776732824427482
MEME/USDT:USDT,LONG,2025-08-20T17:00:00+00:00,2025-08-20T17:15:00+00:00,0.002947,0.002806,0.0033447671686454425,0.002826394211256192,SL,-0.04784526637258231,-0.050445266372582315,80.0,-4.035621309806585
VELVET/USDT:USDT,LONG,2025-08-19T18:00:00+00:00,2025-08-21T00:40:00+00:00,0.06533,0.06322,0.0721750960243503,0.06325451898970137,SL,-0.03229756620235728,-0.03489756620235728,80.0,-2.7918052961885826
SIREN/USDT:USDT,LONG,2025-08-21T01:00:00+00:00,2025-08-21T03:00:00+00:00,0.09534,0.09174,0.10294086864712,0.09303536344227264,SL,-0.03775959723096279,-0.040359597230962795,80.0,-3.2287677784770237
SOON/USDT:USDT,LONG,2025-08-21T03:15:00+00:00,2025-08-21T03:25:00+00:00,0.26701,0.26518,0.2721207,0.26546040000000004,SL,-0.006853675892288671,-0.009453675892288672,80.0,-0.7562940713830937
REX/USDT:USDT,LONG,2025-08-21T03:45:00+00:00,2025-08-21T04:05:00+00:00,0.04156,0.04083,0.0429663,0.0411336,SL,-0.01756496631376327,-0.020164966313763272,80.0,-1.6131973051010617
REX/USDT:USDT,LONG,2025-08-21T05:00:00+00:00,2025-08-21T07:05:00+00:00,0.04245,0.0408,0.04734698141635836,0.04096520096996715,SL,-0.038869257950530006,-0.04146925795053001,80.0,-3.317540636042401
VELVET/USDT:USDT,SHORT,2025-08-21T07:05:00+00:00,2025-08-21T07:30:00+00:00,0.06092,0.06144,0.059205,0.06144,SL,-0.00853578463558765,-0.01113578463558765,80.0,-0.8908627708470119
SOON/USDT:USDT,LONG,2025-08-21T08:00:00+00:00,2025-08-21T10:00:00+00:00,0.29435,0.28187,0.32460622111883924,0.2851761020514307,SL,-0.042398505180907056,-0.04499850518090706,80.0,-3.599880414472565
MEME/USDT:USDT,SHORT,2025-08-20T20:00:00+00:00,2025-08-22T05:00:00+00:00,0.002896,0.002425,0.002446759089098383,0.0030322129875620064,TP,0.16263812154696133,0.16003812154696134,80.0,12.803049723756907
