ts,open,high,low,close,volume
2025-08-03 23:00:00+00:00,161.798,163.054,161.551,161.863,102153.0
2025-08-04 00:00:00+00:00,161.863,164.536,161.302,164.416,127374.0
2025-08-04 01:00:00+00:00,164.416,164.832,162.995,163.227,102637.0
2025-08-04 02:00:00+00:00,163.217,164.23,162.502,164.214,86132.0
2025-08-04 03:00:00+00:00,164.223,164.28,162.767,162.878,86808.0
2025-08-04 04:00:00+00:00,162.884,163.337,162.148,162.204,93689.0
2025-08-04 05:00:00+00:00,162.204,162.333,161.4,162.134,94288.0
2025-08-04 06:00:00+00:00,162.147,162.358,161.159,162.129,96573.0
2025-08-04 07:00:00+00:00,162.13,163.224,161.951,162.932,92632.0
2025-08-04 08:00:00+00:00,162.925,163.986,162.54,163.641,113348.0
2025-08-04 09:00:00+00:00,163.629,163.949,162.332,162.368,82847.0
2025-08-04 10:00:00+00:00,162.368,162.901,162.028,162.282,92824.0
2025-08-04 11:00:00+00:00,162.275,162.466,161.551,162.287,86212.0
2025-08-04 12:00:00+00:00,162.287,163.603,162.048,163.603,102773.0
2025-08-04 13:00:00+00:00,163.6,165.675,163.13,165.354,198924.0
2025-08-04 14:00:00+00:00,165.444,166.819,164.408,164.923,233734.0
2025-08-04 15:00:00+00:00,164.933,165.922,164.456,165.378,107673.0
2025-08-04 16:00:00+00:00,165.385,168.093,165.377,167.928,143723.0
2025-08-04 17:00:00+00:00,167.942,169.712,167.515,167.717,170272.0
2025-08-04 18:00:00+00:00,167.726,168.012,166.338,166.563,105775.0
2025-08-04 19:00:00+00:00,166.553,166.553,164.936,165.548,106559.0
2025-08-04 20:00:00+00:00,165.548,168.346,165.195,167.18,145204.0
2025-08-04 21:00:00+00:00,167.18,168.684,167.159,168.432,95183.0
2025-08-04 22:00:00+00:00,168.517,169.472,168.22,169.376,93513.0
2025-08-04 23:00:00+00:00,169.401,169.685,168.88,169.472,106572.0
2025-08-05 00:00:00+00:00,169.465,169.676,168.53,169.229,98535.0
2025-08-05 01:00:00+00:00,169.229,169.904,168.091,168.166,90858.0
2025-08-05 02:00:00+00:00,168.166,169.33,167.9,169.329,98357.0
2025-08-05 03:00:00+00:00,169.291,169.33,167.503,167.831,110249.0
2025-08-05 04:00:00+00:00,167.831,168.422,167.125,167.377,92138.0
2025-08-05 05:00:00+00:00,167.365,168.479,167.327,168.32,95126.0
2025-08-05 06:00:00+00:00,168.31,169.157,167.205,167.589,110378.0
2025-08-05 07:00:00+00:00,167.589,168.424,165.686,166.156,148861.0
2025-08-05 08:00:00+00:00,166.146,167.156,165.555,166.732,111822.0
2025-08-05 09:00:00+00:00,166.724,169.325,166.687,168.78,120548.0
2025-08-05 10:00:00+00:00,168.78,171.672,168.37,170.96,161358.0
2025-08-05 11:00:00+00:00,170.95,171.545,170.477,170.801,112327.0
2025-08-05 12:00:00+00:00,170.789,170.976,166.655,167.119,209926.0
2025-08-05 13:00:00+00:00,167.131,168.023,166.509,167.636,135086.0
2025-08-05 14:00:00+00:00,167.635,167.679,163.538,164.18,248314.0
2025-08-05 15:00:00+00:00,164.08,165.22,162.888,163.673,147899.0
2025-08-05 16:00:00+00:00,163.603,164.612,162.71,163.735,132123.0
2025-08-05 17:00:00+00:00,163.736,164.823,163.285,164.718,106314.0
2025-08-05 18:00:00+00:00,164.704,164.835,162.923,163.913,117880.0
2025-08-05 19:00:00+00:00,163.904,164.442,162.151,162.688,114417.0
2025-08-05 20:00:00+00:00,162.705,163.601,162.252,162.516,103603.0
2025-08-05 21:00:00+00:00,162.527,163.351,161.51,162.273,107728.0
2025-08-05 22:00:00+00:00,162.274,163.776,161.17,163.768,108624.0
2025-08-05 23:00:00+00:00,163.775,164.484,163.523,163.99,92522.0
2025-08-06 00:00:00+00:00,163.99,164.06,162.451,162.669,101066.0
2025-08-06 01:00:00+00:00,162.66,162.997,161.624,162.808,101334.0
2025-08-06 02:00:00+00:00,162.648,163.217,161.788,162.578,93462.0
2025-08-06 03:00:00+00:00,162.587,162.688,161.064,161.779,102382.0
2025-08-06 04:00:00+00:00,161.771,162.483,161.148,162.335,96575.0
2025-08-06 05:00:00+00:00,162.335,164.69,162.053,164.141,143341.0
2025-08-06 06:00:00+00:00,164.142,164.213,163.31,163.809,96544.0
2025-08-06 07:00:00+00:00,163.814,164.5,163.52,164.16,93914.0
2025-08-06 08:00:00+00:00,164.15,164.413,162.647,163.221,116362.0
2025-08-06 09:00:00+00:00,163.22,164.416,162.846,163.885,99103.0
2025-08-06 10:00:00+00:00,163.898,164.093,162.801,163.579,104976.0
2025-08-06 11:00:00+00:00,163.579,164.56,163.14,164.088,109629.0
2025-08-06 12:00:00+00:00,164.082,164.601,162.565,163.151,109251.0
2025-08-06 13:00:00+00:00,163.289,164.619,163.029,164.19,121687.0
2025-08-06 14:00:00+00:00,164.166,167.916,163.849,167.793,218225.0
2025-08-06 15:00:00+00:00,167.804,169.322,167.132,168.981,175149.0
2025-08-06 16:00:00+00:00,168.989,169.398,167.228,167.672,145317.0
2025-08-06 17:00:00+00:00,167.672,169.056,167.121,169.048,105067.0
2025-08-06 18:00:00+00:00,169.048,169.867,168.333,168.43,173361.0
2025-08-06 19:00:00+00:00,168.42,169.094,167.92,168.736,114644.0
2025-08-06 20:00:00+00:00,168.722,168.785,167.682,167.917,83838.0
2025-08-06 21:00:00+00:00,167.926,168.5,167.229,167.952,100778.0
2025-08-06 22:00:00+00:00,168.046,168.447,167.802,168.322,81696.0
2025-08-06 23:00:00+00:00,168.314,168.351,167.842,168.016,80061.0
2025-08-07 00:00:00+00:00,168.007,168.318,167.476,167.803,79648.0
2025-08-07 01:00:00+00:00,167.803,168.911,167.607,167.781,94958.0
2025-08-07 02:00:00+00:00,167.789,167.938,166.678,167.011,90788.0
2025-08-07 03:00:00+00:00,167.019,167.352,166.627,166.826,80443.0
2025-08-07 04:00:00+00:00,166.818,167.49,166.693,167.046,80068.0
2025-08-07 05:00:00+00:00,167.046,168.678,166.828,168.663,95068.0
2025-08-07 06:00:00+00:00,168.663,169.625,168.513,169.1,130415.0
2025-08-07 07:00:00+00:00,169.122,170.256,169.061,169.913,133652.0
2025-08-07 08:00:00+00:00,169.925,170.475,169.144,169.313,113386.0
2025-08-07 09:00:00+00:00,169.313,169.684,168.984,169.561,88464.0
2025-08-07 10:00:00+00:00,169.57,173.254,169.355,173.063,256356.0
2025-08-07 11:00:00+00:00,173.064,173.445,172.496,172.778,122621.0
2025-08-07 12:00:00+00:00,172.811,173.13,171.45,172.362,138921.0
