ts,open,high,low,close,volume
2025-08-03 23:00:00+00:00,114263.3,114461.8,114096.3,114150.1,169.34
2025-08-04 00:00:00+00:00,114150.3,114881.9,114060.8,114827.1,500.11
2025-08-04 01:00:00+00:00,114827.1,114966.5,114554.5,114640.3,563.23
2025-08-04 02:00:00+00:00,114640.1,114842.8,114368.5,114765.8,864.58
2025-08-04 03:00:00+00:00,114765.8,114767.0,114475.5,114545.4,162.01
2025-08-04 04:00:00+00:00,114525.4,114620.0,114293.7,114342.6,271.48
2025-08-04 05:00:00+00:00,114342.6,114387.5,114136.1,114340.1,314.49
2025-08-04 06:00:00+00:00,114340.1,114449.4,114101.0,114379.2,252.76
2025-08-04 07:00:00+00:00,114379.2,114743.8,114351.3,114607.7,427.54
2025-08-04 08:00:00+00:00,114584.9,114749.9,114306.1,114499.9,444.06
2025-08-04 09:00:00+00:00,114499.9,114711.6,114247.0,114249.4,196.61
2025-08-04 10:00:00+00:00,114269.8,114463.6,114181.2,114203.4,167.15
2025-08-04 11:00:00+00:00,114203.2,114484.2,114168.3,114453.3,216.47
2025-08-04 12:00:00+00:00,114453.3,114524.5,114257.8,114424.9,196.08
2025-08-04 13:00:00+00:00,114408.1,114876.8,114062.6,114861.7,999.94
2025-08-04 14:00:00+00:00,114861.7,115428.4,114581.4,114687.9,1595.81
2025-08-04 15:00:00+00:00,114687.7,114980.0,114502.9,114760.2,438.5
2025-08-04 16:00:00+00:00,114760.2,115382.4,114760.0,115252.0,826.0
2025-08-04 17:00:00+00:00,115252.0,115678.0,115074.8,115145.3,588.41
2025-08-04 18:00:00+00:00,115145.5,115300.0,114867.5,114905.1,207.02
2025-08-04 19:00:00+00:00,114920.0,115086.2,114679.7,114723.4,226.0
2025-08-04 20:00:00+00:00,114723.4,115026.3,114579.3,114760.5,342.12
2025-08-04 21:00:00+00:00,114760.7,115248.8,114755.1,115071.4,215.23
2025-08-04 22:00:00+00:00,115071.4,115289.9,115039.8,115266.9,180.56
2025-08-04 23:00:00+00:00,115289.9,115310.0,115000.0,115003.0,202.32
2025-08-05 00:00:00+00:00,115003.0,115080.0,114778.6,114846.6,296.64
2025-08-05 01:00:00+00:00,114846.8,115022.9,114661.1,114674.6,230.84
2025-08-05 02:00:00+00:00,114674.6,114799.8,114563.1,114683.7,179.6
2025-08-05 03:00:00+00:00,114679.8,114715.0,114209.6,114222.3,429.44
2025-08-05 04:00:00+00:00,114229.8,114393.0,114130.8,114290.8,282.32
2025-08-05 05:00:00+00:00,114290.6,114464.9,114200.0,114378.9,202.36
2025-08-05 06:00:00+00:00,114378.7,114485.2,114044.5,114139.8,369.32
2025-08-05 07:00:00+00:00,114139.8,114374.7,113651.5,113928.0,887.01
2025-08-05 08:00:00+00:00,113928.2,114493.3,113878.5,114244.0,613.37
2025-08-05 09:00:00+00:00,114244.0,114785.7,114233.7,114621.4,485.32
2025-08-05 10:00:00+00:00,114621.4,115050.0,114516.9,114770.0,574.06
2025-08-05 11:00:00+00:00,114770.1,114953.6,114675.3,114778.0,206.83
2025-08-05 12:00:00+00:00,114778.0,114860.3,113428.3,113893.7,1328.27
2025-08-05 13:00:00+00:00,113893.7,114531.3,113812.8,114325.0,573.01
2025-08-05 14:00:00+00:00,114318.5,114345.1,112602.1,112980.9,3028.79
2025-08-05 15:00:00+00:00,112980.9,113205.2,112637.7,112879.1,896.32
2025-08-05 16:00:00+00:00,112879.1,113328.6,112761.0,113141.3,502.86
2025-08-05 17:00:00+00:00,113141.3,113633.0,113044.4,113591.0,436.57
2025-08-05 18:00:00+00:00,113590.8,113623.1,113210.0,113606.3,266.58
2025-08-05 19:00:00+00:00,113606.3,113730.8,113335.5,113576.8,242.8
2025-08-05 20:00:00+00:00,113576.6,113950.0,113447.3,113644.8,272.73
2025-08-05 21:00:00+00:00,113660.4,113829.5,113512.0,113549.0,181.87
2025-08-05 22:00:00+00:00,113548.8,113951.8,113239.3,113885.1,310.0
2025-08-05 23:00:00+00:00,113885.1,114192.1,113869.6,114075.1,236.18
2025-08-06 00:00:00+00:00,114074.9,114093.8,113714.2,113845.9,271.55
2025-08-06 01:00:00+00:00,113844.9,113924.5,113530.5,113777.3,292.78
2025-08-06 02:00:00+00:00,113775.2,113801.9,113445.5,113587.5,185.92
2025-08-06 03:00:00+00:00,113587.3,113623.8,113353.7,113470.4,239.71
2025-08-06 04:00:00+00:00,113470.4,113558.0,113305.1,113407.5,172.54
2025-08-06 05:00:00+00:00,113407.5,114386.7,113337.3,114098.9,727.93
2025-08-06 06:00:00+00:00,114099.0,114160.1,113875.0,114040.8,536.49
2025-08-06 07:00:00+00:00,114040.6,114264.8,113965.3,114178.7,390.24
2025-08-06 08:00:00+00:00,114178.9,114235.5,113675.2,113896.0,1060.19
2025-08-06 09:00:00+00:00,113896.2,114333.5,113858.8,114049.2,312.79
2025-08-06 10:00:00+00:00,114049.0,114198.2,113840.0,114020.0,277.45
2025-08-06 11:00:00+00:00,114020.1,114383.9,113950.0,114188.0,295.31
2025-08-06 12:00:00+00:00,114188.2,114293.7,113740.0,113874.4,410.84
2025-08-06 13:00:00+00:00,113874.2,114358.1,113528.9,114216.4,824.31
2025-08-06 14:00:00+00:00,114216.2,115150.0,113810.3,115135.1,1206.08
2025-08-06 15:00:00+00:00,115127.4,115485.1,114778.7,115391.5,1152.41
2025-08-06 16:00:00+00:00,115391.5,115438.6,114900.0,115069.6,828.39
2025-08-06 17:00:00+00:00,115069.7,115480.4,114957.2,115468.4,326.56
2025-08-06 18:00:00+00:00,115468.4,115666.9,115245.0,115369.6,510.22
2025-08-06 19:00:00+00:00,115346.7,115481.2,115066.5,115204.2,183.92
2025-08-06 20:00:00+00:00,115204.2,115219.1,114949.6,114983.8,154.33
2025-08-06 21:00:00+00:00,114983.8,115200.0,114729.3,114999.9,252.46
2025-08-06 22:00:00+00:00,114977.1,115177.3,114977.1,115040.8,210.65
2025-08-06 23:00:00+00:00,115041.0,115067.7,114904.4,114949.8,289.47
2025-08-07 00:00:00+00:00,114972.6,114977.0,114810.0,114850.0,177.24
2025-08-07 01:00:00+00:00,114850.0,115165.0,114527.4,114702.4,418.59
2025-08-07 02:00:00+00:00,114702.6,114835.6,114353.0,114518.9,346.5
2025-08-07 03:00:00+00:00,114532.9,114579.4,114353.0,114500.6,228.86
2025-08-07 04:00:00+00:00,114500.4,114615.0,114221.3,114313.9,255.82
2025-08-07 05:00:00+00:00,114313.9,114528.4,114240.0,114528.4,234.13
2025-08-07 06:00:00+00:00,114528.2,114750.0,114456.5,114606.5,328.67
2025-08-07 07:00:00+00:00,114606.5,114840.0,114594.4,114749.0,276.74
2025-08-07 08:00:00+00:00,114749.0,115139.1,114747.6,114912.4,385.01
2025-08-07 09:00:00+00:00,114912.4,115038.0,114800.0,115018.6,240.5
2025-08-07 10:00:00+00:00,115018.6,116390.0,114989.2,116291.1,2243.77
2025-08-07 11:00:00+00:00,116291.1,116771.2,116291.1,116464.6,1289.13
2025-08-07 12:00:00+00:00,116464.8,116547.7,115974.1,116327.4,679.91
2025-08-07 13:00:00+00:00,116327.4,116703.2,116142.0,116595.2,495.75
2025-08-07 14:00:00+00:00,116595.0,116632.8,116142.7,116304.2,474.49
2025-08-07 15:00:00+00:00,116305.1,116746.3,116192.0,116633.3,380.22
2025-08-07 16:00:00+00:00,116633.3,116750.0,115563.1,116201.1,912.58
2025-08-07 17:00:00+00:00,116200.9,116521.0,116037.1,116460.1,467.13
2025-08-07 18:00:00+00:00,116459.9,116545.5,116094.0,116513.8,312.2
2025-08-07 19:00:00+00:00,116513.8,117472.5,116437.9,117400.5,1193.43
2025-08-07 20:00:00+00:00,117400.5,117450.0,117065.5,117125.2,474.31
2025-08-07 21:00:00+00:00,117125.1,117307.7,116948.7,117040.2,246.48
2025-08-07 22:00:00+00:00,117040.0,117575.0,117021.0,117498.6,583.14
2025-08-07 23:00:00+00:00,117498.8,117522.8,117227.0,117413.6,519.47
2025-08-08 00:00:00+00:00,117413.4,117579.9,116816.9,117216.6,721.73
2025-08-08 01:00:00+00:00,117216.4,117216.6,116737.4,116843.5,419.58
2025-08-08 02:00:00+00:00,116843.5,116879.9,116647.8,116660.5,278.85
2025-08-08 03:00:00+00:00,116660.5,116939.4,116646.5,116694.4,299.2
2025-08-08 04:00:00+00:00,116694.5,116830.0,116621.9,116700.2,154.96
2025-08-08 05:00:00+00:00,116700.0,116702.9,116450.0,116479.7,377.2
2025-08-08 06:00:00+00:00,116479.9,116717.8,116338.4,116691.4,395.42
2025-08-08 07:00:00+00:00,116691.4,116923.7,116498.2,116775.2,320.02
2025-08-08 08:00:00+00:00,116775.2,116889.0,116385.5,116575.5,403.12
2025-08-08 09:00:00+00:00,116575.5,116686.0,116436.4,116633.3,271.84
2025-08-08 10:00:00+00:00,116633.1,116676.0,116270.0,116509.5,220.04
2025-08-08 11:00:00+00:00,116509.3,116877.3,116509.3,116852.0,217.23
2025-08-08 12:00:00+00:00,116852.0,116852.0,116448.7,116450.1,314.51
2025-08-08 13:00:00+00:00,116450.1,116907.3,116450.0,116866.3,434.05
2025-08-08 14:00:00+00:00,116866.1,117225.8,116316.1,116443.6,988.17
2025-08-08 15:00:00+00:00,116443.6,116499.9,115853.4,116157.5,854.2
2025-08-08 16:00:00+00:00,116157.5,116325.2,115949.4,116143.7,398.2
2025-08-08 17:00:00+00:00,116143.5,116661.5,116105.9,116659.3,369.81
2025-08-08 18:00:00+00:00,116659.3,116850.0,116271.2,116456.3,629.77
2025-08-08 19:00:00+00:00,116456.6,116656.6,116280.0,116378.3,208.76
2025-08-08 20:00:00+00:00,116378.5,116847.7,116253.8,116844.8,244.53
2025-08-08 21:00:00+00:00,116844.8,116925.8,116680.0,116882.5,204.29
2025-08-08 22:00:00+00:00,116882.3,116928.7,116694.5,116830.3,133.36
2025-08-08 23:00:00+00:00,116830.1,116873.5,116594.0,116618.0,124.37
2025-08-09 00:00:00+00:00,116618.2,116699.0,116520.6,116540.4,127.01
2025-08-09 01:00:00+00:00,116540.4,116611.4,116488.0,116517.7,153.79
2025-08-09 02:00:00+00:00,116517.7,116539.8,116350.0,116354.5,151.08
2025-08-09 03:00:00+00:00,116354.3,116450.0,116315.0,116333.6,221.76
2025-08-09 04:00:00+00:00,116333.6,116642.1,116320.0,116389.9,435.5
2025-08-09 05:00:00+00:00,116390.1,116949.1,116354.9,116691.8,874.63
2025-08-09 06:00:00+00:00,116692.0,116711.8,116478.1,116606.5,362.51
2025-08-09 07:00:00+00:00,116606.5,116863.4,116569.0,116702.5,326.6
2025-08-09 08:00:00+00:00,116702.3,117147.3,116697.9,117068.0,509.64
2025-08-09 09:00:00+00:00,117068.0,117468.7,116996.5,117466.1,694.71
2025-08-09 10:00:00+00:00,117465.9,117896.0,117326.4,117378.6,1137.49
2025-08-09 11:00:00+00:00,117378.6,117434.7,117034.8,117070.5,470.8
2025-08-09 12:00:00+00:00,117070.3,117195.8,116950.0,117057.9,273.96
2025-08-09 13:00:00+00:00,117057.9,117109.4,116826.5,116915.9,442.45
2025-08-09 14:00:00+00:00,116915.9,116954.1,116714.7,116927.4,418.59
2025-08-09 15:00:00+00:00,116927.5,117095.5,116644.2,116836.5,818.45
2025-08-09 16:00:00+00:00,116836.5,116890.4,116586.3,116598.4,269.82
2025-08-09 17:00:00+00:00,116598.4,116776.9,116568.8,116629.6,178.05
2025-08-09 18:00:00+00:00,116629.4,116680.0,116498.8,116573.5,238.07
2025-08-09 19:00:00+00:00,116573.5,116687.2,116454.0,116503.8,146.6
2025-08-09 20:00:00+00:00,116503.6,116974.8,116458.2,116726.3,351.87
2025-08-09 21:00:00+00:00,116726.1,116754.0,116342.6,116472.8,249.26
2025-08-09 22:00:00+00:00,116473.0,116688.8,116446.4,116506.6,167.96
2025-08-09 23:00:00+00:00,116506.6,116550.0,116393.2,116426.0,96.05
2025-08-10 00:00:00+00:00,116426.0,116705.9,116425.2,116705.9,125.75
2025-08-10 01:00:00+00:00,116705.7,116739.6,116508.8,116539.7,358.7
2025-08-10 02:00:00+00:00,116539.5,117290.5,116538.7,117280.5,559.37
2025-08-10 03:00:00+00:00,117280.5,118500.0,117208.2,118499.2,1869.16
2025-08-10 04:00:00+00:00,118499.4,118735.4,118381.2,118479.8,693.05
