ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T12:38:40,tp,3.25,66.853852,0.814173,-0.466117,-0.10243,84,10.227016925811768,tune_tmp/t1440_s1_rays_tp_3p25.yaml
2025-08-24T12:38:52,tp,3.3,71.533721,0.836602,-0.44882,-0.088968,83,11.929386854171753,tune_tmp/t1440_s1_rays_tp_3p3.yaml
2025-08-24T12:39:04,tp,3.35,71.906807,0.838686,-0.439358,-0.087733,83,11.41942548751831,tune_tmp/t1440_s1_rays_tp_3p35.yaml
2025-08-24T12:39:15,tp,3.4,114.804539,1.094989,-0.311507,0.045341,80,11.474719285964966,tune_tmp/t1440_s1_rays_tp_3p4.yaml
2025-08-24T12:39:28,tp,3.45,114.804539,1.094989,-0.311507,0.045341,80,13.251280784606934,tune_tmp/t1440_s1_rays_tp_3p45.yaml
2025-08-24T12:39:45,tp,3.5,50.982031,0.727621,-0.587661,-0.157661,84,17.15543842315674,tune_tmp/t1440_s1_rays_tp_3p5.yaml
2025-08-24T12:40:01,tp,3.55,41.307287,0.679025,-0.635222,-0.191167,83,15.775725603103638,tune_tmp/t1440_s1_rays_tp_3p55.yaml
2025-08-24T12:40:18,tp,3.6,98.979825,0.992442,-0.245864,-0.003793,67,16.774206399917603,tune_tmp/t1440_s1_rays_tp_3p6.yaml
2025-08-24T12:40:33,tp,3.65,99.929755,0.99926,-0.183111,-0.00037,47,14.796923875808716,tune_tmp/t1440_s1_rays_tp_3p65.yaml
2025-08-24T12:40:48,tp,3.7,56.194909,0.784192,-0.596622,-0.120956,94,15.082125663757324,tune_tmp/t1440_s1_rays_tp_3p7.yaml
2025-08-24T12:41:03,tp,3.75,96.599444,0.980379,-0.331062,-0.009907,89,14.980439186096191,tune_tmp/t1440_s1_rays_tp_3p75.yaml
2025-08-24T12:41:18,sl,1.02,43.385348,0.725447,-0.646286,-0.15912,94,15.27317500114441,tune_tmp/t1440_s2_rays_sl_1p02.yaml
2025-08-24T12:41:34,sl,1.04,47.23756,0.748634,-0.618347,-0.14375,97,15.696041584014893,tune_tmp/t1440_s2_rays_sl_1p04.yaml
2025-08-24T12:41:48,sl,1.06,46.129212,0.744702,-0.62743,-0.146328,97,14.016225099563599,tune_tmp/t1440_s2_rays_sl_1p06.yaml
2025-08-24T12:42:03,sl,1.08,114.804539,1.094989,-0.311507,0.045341,80,14.779332876205444,tune_tmp/t1440_s2_rays_sl_1p08.yaml
2025-08-24T12:42:18,sl,1.1,104.812461,1.031413,-0.345468,0.015463,76,15.452671527862549,tune_tmp/t1440_s2_rays_sl_1p1.yaml
2025-08-24T12:42:33,sl,1.12,105.893902,1.039104,-0.330652,0.019177,74,14.530313491821289,tune_tmp/t1440_s2_rays_sl_1p12.yaml
