event,iso,notional,pnl,price,qty,ts
FIRST,2026-02-23T02:58:00Z,80.0,,27.506,2.9084563367992438,1771815480000
DCA,2026-02-23T03:10:00Z,79.49683705373373,,27.333,2.9084563367992438,1771816200000
DCA,2026-02-23T03:10:00Z,119.24525558060058,,27.333,4.362684505198866,1771816200000
DCA,2026-02-23T03:18:00Z,216.82469279429944,,27.109,7.99825492619792,1771816680000
FULL_CLOSE_TRAIL,2026-02-23T05:18:00Z,,4.396858867156278,27.504,18.177852104995274,1771823880000
FIRST,2026-02-23T05:20:00Z,80.62385498436704,,27.375,2.9451636523969698,1771824000000
FULL_CLOSE_TRAIL,2026-02-23T05:40:00Z,,0.6302650216129475,27.589,2.9451636523969698,1771825200000
FIRST,2026-02-23T05:42:00Z,80.71174714982588,,27.614,2.9228560567040587,1771825320000
DCA,2026-02-23T06:02:00Z,80.41361583204207,,27.512,2.9228560567040587,1771826520000
FULL_CLOSE_TRAIL,2026-02-23T06:16:00Z,,0.9177768018050642,27.72,5.845712113408117,1771827360000
FIRST,2026-02-23T06:18:00Z,80.83273795789346,,27.723,2.915728382855155,1771827480000
DCA,2026-02-23T08:04:00Z,80.57906958858506,,27.636,2.915728382855155,1771833840000
DCA,2026-02-23T08:12:00Z,120.49684901406354,,27.551,4.373592574282732,1771834320000
FULL_CLOSE_TRAIL,2026-02-23T09:32:00Z,,3.4143179363233944,27.959,10.205049339993042,1771839120000
FIRST,2026-02-23T09:34:00Z,81.3336502972206,,27.956,2.9093450528409144,1771839240000
FULL_CLOSE_TRAIL,2026-02-23T09:52:00Z,,0.4713138985602253,28.118,2.9093450528409144,1771840320000
FIRST,2026-02-23T09:54:00Z,81.3960094318308,,28.181,2.8883293506912744,1771840440000
DCA,2026-02-23T10:16:00Z,81.13605979026859,,28.091,2.8883293506912744,1771841760000
DCA,2026-02-23T10:32:00Z,121.29250275292938,,27.996,4.332494026036912,1771842720000
DCA,2026-02-23T10:38:00Z,221.17020961749597,,27.845,7.942905714401005,1771843080000
FULL_CLOSE_TRAIL,2026-02-25T14:40:00Z,,3.7483294148595854,28.182,18.052058441820463,1772030400000
FIRST,2026-02-25T14:42:00Z,81.91464310680034,,28.11,2.9140748170330966,1772030520000
FULL_CLOSE_TRAIL,2026-02-25T14:50:00Z,,0.754745377611573,28.369,2.9140748170330966,1772031000000
FIRST,2026-02-25T14:52:00Z,82.0222356446909,,28.318,2.896469935895575,1772031120000
DCA,2026-02-25T14:58:00Z,81.77024276026798,,28.231,2.896469935895575,1772031480000
DCA,2026-02-25T15:06:00Z,121.9167643067486,,28.061,4.344704903843363,1772031960000
DCA,2026-02-25T15:20:00Z,222.53433693988907,,27.938,7.9652923237128315,1772032800000
FULL_CLOSE_TRAIL,2026-02-25T16:26:00Z,,2.8747464113763908,28.234,18.102937099347344,1772036760000
FIRST,2026-02-25T16:28:00Z,82.40064611805396,,28.195,2.92252690612002,1772036880000
FULL_CLOSE_TRAIL,2026-02-25T16:42:00Z,,0.5903504350362387,28.397,2.92252690612002,1772037720000
FIRST,2026-02-25T16:44:00Z,82.48187085624608,,28.371,2.90725990822481,1772037840000
FULL_CLOSE_TRAIL,2026-02-25T16:54:00Z,,0.5349358231133681,28.555,2.90725990822481,1772038440000
FIRST,2026-02-25T16:56:00Z,82.55422069374137,,28.658,2.880669296313119,1772038560000
DCA,2026-02-25T16:58:00Z,82.26615376411006,,28.558,2.880669296313119,1772038680000
DCA,2026-02-25T17:00:00Z,122.7121910189944,,28.399,4.321003944469679,1772038800000
FULL_CLOSE_TRAIL,2026-02-25T17:50:00Z,,1.6189361445279506,28.679,10.082342537095917,1772041800000
FIRST,2026-02-25T17:52:00Z,82.76711575149801,,28.703,2.8835702104831555,1772041920000
FULL_CLOSE_TRAIL,2026-02-25T18:38:00Z,,0.6920568505159631,28.943,2.8835702104831555,1772044680000
FIRST,2026-02-25T18:40:00Z,82.86454674451228,,28.995,2.8578909034148055,1772044800000
DCA,2026-02-25T18:46:00Z,82.45872623622739,,28.853,2.8578909034148055,1772045160000
DCA,2026-02-25T18:48:00Z,123.5380500819118,,28.818,4.286836355122208,1772045280000
DCA,2026-02-25T19:10:00Z,225.21323475270032,,28.656,7.859199984390715,1772046600000
FULL_CLOSE_TRAIL,2026-02-26T09:32:00Z,,2.828597521654801,28.939,17.861818146342536,1772098320000
FIRST,2026-02-26T09:34:00Z,83.23464413092486,,28.949,2.8752165577714206,1772098440000
FULL_CLOSE_TRAIL,2026-02-26T09:46:00Z,,0.7964349865026762,29.226,2.8752165577714206,1772099160000
FIRST,2026-02-26T09:48:00Z,83.34869247090542,,29.213,2.853137044155185,1772099280000
DCA,2026-02-26T09:50:00Z,83.1090289591964,,29.129,2.853137044155185,1772099400000
DCA,2026-02-26T10:38:00Z,124.16709759311159,,29.013,4.279705566232778,1772102280000
DCA,2026-02-26T10:50:00Z,226.2744528450763,,28.839,7.846126871426759,1772103000000
FULL_CLOSE_TRAIL,2026-02-26T14:56:00Z,,3.869567116135478,29.204,17.832106525969905,1772117760000
FIRST,2026-02-26T14:58:00Z,83.88480976061891,,29.295,2.863451434054238,1772117880000
DCA,2026-02-26T15:00:00Z,83.5154245256259,,29.166,2.863451434054238,1772118000000
