param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
sl,1.08,114.804539,1.094989,80,-0.311507,0.045341,9.330774,0.02918888219607796,1.3705689029395987,4.798611111111111
sl,1.1,104.812461,1.031413,76,-0.345468,0.015463,8.024275,0.009944379226143107,0.3456239083923285,4.75
sl,1.12,105.893902,1.039104,74,-0.330652,0.019177,8.675434,0.012129282357139282,0.43575287345715075,4.75
sl,1.1400000000000001,98.611182,0.9909,74,-0.358463,-0.004571,8.543607,-0.002939990391882974,-0.08454092625862886,4.75
