ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T21:00:18,tp,2.5,100.0,0.0,0.0,0.0,0,4.8038084506988525,tune_tmp/t5m2880_cs_s1_rays_tp_2p5.yaml
2025-08-24T21:00:23,tp,3.25,100.0,0.0,0.0,0.0,0,5.133990049362183,tune_tmp/t5m2880_cs_s1_rays_tp_3p25.yaml
2025-08-24T21:00:29,tp,3.3,100.0,0.0,0.0,0.0,0,5.415562868118286,tune_tmp/t5m2880_cs_s1_rays_tp_3p3.yaml
2025-08-24T21:00:33,tp,3.35,100.0,0.0,0.0,0.0,0,4.4238035678863525,tune_tmp/t5m2880_cs_s1_rays_tp_3p35.yaml
2025-08-24T21:00:37,tp,3.4,100.0,0.0,0.0,0.0,0,4.298271656036377,tune_tmp/t5m2880_cs_s1_rays_tp_3p4.yaml
2025-08-24T21:00:42,tp,3.45,100.0,0.0,0.0,0.0,0,4.906880855560303,tune_tmp/t5m2880_cs_s1_rays_tp_3p45.yaml
2025-08-24T21:00:47,tp,3.5,100.0,0.0,0.0,0.0,0,4.410030841827393,tune_tmp/t5m2880_cs_s1_rays_tp_3p5.yaml
2025-08-24T21:00:51,tp,3.55,100.0,0.0,0.0,0.0,0,4.507281303405762,tune_tmp/t5m2880_cs_s1_rays_tp_3p55.yaml
2025-08-24T21:00:56,tp,3.6,100.0,0.0,0.0,0.0,0,4.557342767715454,tune_tmp/t5m2880_cs_s1_rays_tp_3p6.yaml
2025-08-24T21:01:00,tp,3.65,100.0,0.0,0.0,0.0,0,4.6865997314453125,tune_tmp/t5m2880_cs_s1_rays_tp_3p65.yaml
2025-08-24T21:08:48,tp,2.5,99.557865,0.467892,-0.004421,-0.362498,42,4.023176670074463,tune_tmp/t5m2880_cs_s1_rays_tp_2p5.yaml
2025-08-24T21:08:52,tp,3.25,99.455118,0.360061,-0.005449,-0.470522,37,4.095965147018433,tune_tmp/t5m2880_cs_s1_rays_tp_3p25.yaml
