id,symbol,side,contrarian_side,opened_ms,opened_utc,closed_ms,closed_utc,avgCost,avgClosePrice,closingPnl,roi,maxOpenInterest,closedVolume,isolated,status,leverage
1773239787617,ETHUSDT,SHORT,LONG,1773239787617,2026-03-11T14:36:27.617000Z,1773414027990,2026-03-13T15:00:27.990000Z,2175.6954483,2149.77091185,30126.51493682,0.11097151,1162.085,1162.085,Cross,All Closed,10
1773634399608,ETHUSDT,SHORT,LONG,1773634399608,2026-03-16T04:13:19.608000Z,1773833911164,2026-03-18T11:38:31.164000Z,2323.16712618,2265.75,55204.95914294,0.24255376,961.472,961.472,Cross,All Closed,10
1773838996406,ETHUSDT,LONG,SHORT,1773838996406,2026-03-18T13:03:16.406000Z,1773856841788,2026-03-18T18:00:41.788000Z,2172.8352057,2212.22,1055.94571997,0.17456458,26.811,26.811,Cross,All Closed,10
1773930178247,ETHUSDT,LONG,SHORT,1773930178247,2026-03-19T14:22:58.247000Z,1773980879623,2026-03-20T04:27:59.623000Z,2117.04,2152.55,1684.84297,0.16133473,47.447,47.447,Cross,All Closed,10
1774264797217,BTCUSDT,SHORT,LONG,1774264797217,2026-03-23T11:19:57.217000Z,1774266687445,2026-03-23T11:51:27.445000Z,70726.4807334,70248.3,5594.23639982,0.06402202,11.699,11.699,Cross,All Closed,10
1774273967041,ETHUSDT,SHORT,LONG,1774273967041,2026-03-23T13:52:47.041000Z,1774283114591,2026-03-23T16:25:14.591000Z,2185.6928438,2124.3,2845.12855995,0.27632325,46.343,46.343,Cross,All Closed,10
1774444676919,ETHUSDT,SHORT,LONG,1774444676919,2026-03-25T13:17:56.919000Z,1774504678094,2026-03-26T05:57:58.094000Z,2185.95422759,2116.26942327,8221.06478936,0.31261047,117.975,117.975,Cross,All Closed,10
1774622924538,BTCUSDT,LONG,SHORT,1774622924538,2026-03-27T14:48:44.538000Z,1774784675755,2026-03-29T11:44:35.755000Z,65772.90648855,66888.0,1752.92699999,0.16817612,1.572,1.572,Cross,All Closed,10
1774877672554,ETHUSDT,SHORT,LONG,1774877672554,2026-03-30T13:34:32.554000Z,1775094300986,2026-04-02T01:45:00.986000Z,2106.179751,2088.0,4958.85432048,0.08132394,272.768,272.768,Cross,All Closed,10
1775139045436,ETHUSDT,SHORT,LONG,1775139045436,2026-04-02T14:10:45.436000Z,1775232045247,2026-04-03T16:00:45.247000Z,2060.32944858,2049.5,2686.04978934,0.0464072,248.032,248.032,Cross,All Closed,10
1775433688621,ETHUSDT,SHORT,LONG,1775433688621,2026-04-06T00:01:28.621000Z,1775516835225,2026-04-06T23:07:15.225000Z,2151.34364495,2089.0,31563.96399998,0.28674689,506.29,506.29,Cross,All Closed,10
1775553029903,ETHUSDT,SHORT,LONG,1775553029903,2026-04-07T09:10:29.903000Z,1775561769747,2026-04-07T11:36:09.747000Z,2130.2,2087.39,1121.79324,0.19740321,26.204,26.204,Cross,All Closed,10
1775603701723,ETHUSDT,SHORT,LONG,1775603701723,2026-04-07T23:15:01.723000Z,1775658924605,2026-04-08T14:35:24.605000Z,2252.66296033,2217.60353389,34667.21662836,0.15099716,988.813,988.813,Cross,All Closed,10
1775751142251,BTCUSDT,SHORT,LONG,1775751142251,2026-04-09T16:12:22.251000Z,1776008100754,2026-04-12T15:35:00.754000Z,72827.78827603,71073.87232253,7091.08219998,0.23393186,4.043,4.043,Cross,All Closed,10
1776120843279,BTCUSDT,SHORT,LONG,1776120843279,2026-04-13T22:54:03.279000Z,1777486285152,2026-04-29T18:11:25.152000Z,76866.82687313,75511.47493362,206219.50829363,0.16895217,64.799,152.152,Cross,All Closed,10
1776825549036,ETHUSDT,SHORT,LONG,1776825549036,2026-04-22T02:39:09.036000Z,1778168997130,2026-05-07T15:49:57.130000Z,2378.54446101,2284.16229524,37992.31385955,0.38730141,402.537,402.537,Cross,All Closed,10
1777638565700,BTCUSDT,SHORT,LONG,1777638565700,2026-05-01T12:29:25.700000Z,1778768965601,2026-05-14T14:29:25.601000Z,80219.36360666,79952.83200234,18683.33239826,0.02990255,51.512,70.098,Cross,All Closed,10
1778769851996,BTCUSDT,SHORT,LONG,1778769851996,2026-05-14T14:44:11.996000Z,1778914902307,2026-05-16T07:01:42.307000Z,81039.61554455,79463.67266089,12733.61849985,0.18992144,8.08,8.08,Cross,All Closed,10
1778776547294,ETHUSDT,SHORT,LONG,1778776547294,2026-05-14T16:35:47.294000Z,1778914903234,2026-05-16T07:01:43.234000Z,2304.66,2264.09190249,1434.44736,0.17079109,35.359,35.359,Cross,All Closed,10
1779098899731,BTCUSDT,LONG,SHORT,1779098899731,2026-05-18T10:08:19.731000Z,1779131766622,2026-05-18T19:16:06.622000Z,76247.40865858,76716.96798367,11730.06149916,0.0579276,24.981,24.981,Cross,All Closed,10
