id,symbol,lead_side,side,lead_opened_utc,entry_utc,exit_utc,hold_h,entry,exit,avg_entry,notional,dca_fills,gross_ret_pct,net_ret_pct,pnl,ret_on_100usdt_pct,lead_avg_cost,lead_avg_close,lead_pnl,lead_roi,candles,fills_json
1768318446214,BTCUSDT,SHORT,LONG,2026-01-13T15:34:06.214000Z,2026-01-19T00:41:28.787000Z,2026-01-22T00:41:00Z,71.99200361111112,92800.23537935,89925.6,92800.23537935,100.0,0,-3.0976595776928972,-3.3852641760059505,-3.3852641760059505,-3.3852641760059505,93867.26090427,92800.23537935,15906.14949931,0.183372,4320,[]
1768319820555,ETHUSDT,SHORT,LONG,2026-01-13T15:57:00.555000Z,2026-01-20T06:18:33.705000Z,2026-01-23T06:18:00Z,71.9906375,3132.73,2969.72,3132.73,100.0,0,-5.20344874917405,-5.491053347487104,-5.491053347487104,-5.491053347487105,3183.62235,3132.73,3198.63508999,0.11426097,4320,[]
1768891991869,ETHUSDT,LONG,SHORT,2026-01-20T06:53:11.869000Z,2026-01-20T15:35:04.969000Z,2026-01-23T15:35:00Z,71.99861972222222,3033.72,2925.65,3033.72,100.0,0,3.5622931582347652,3.2746885599217115,3.2746885599217115,3.2746885599217115,3026.91397497,3033.72,1484.63227006,0.01106325,4320,[]
1768933238471,ETHUSDT,LONG,SHORT,2026-01-20T18:20:38.471000Z,2026-01-21T19:35:28.242000Z,2026-01-24T19:35:00Z,71.992155,3004.58937923,2956.09,3004.58937923,100.0,0,1.6141766181184087,1.3265720198053554,1.3265720198053554,1.3265720198053554,2947.42218543,3004.58937923,8391.34370933,0.13070619,4320,[]
1769369503408,ETHUSDT,LONG,SHORT,2026-01-25T19:31:43.408000Z,2026-01-26T02:22:32.596000Z,2026-01-29T02:22:00Z,71.99094555555556,2877.9,2993.95,2877.9,100.0,0,-4.032454220091029,-4.320058818404083,-4.320058818404083,-4.320058818404083,2816.40156783,2877.9,1208.13669994,0.15097403,4320,[]
1769740011639,BTCUSDT,LONG,SHORT,2026-01-30T02:26:51.639000Z,2026-01-30T14:39:01.112000Z,2026-02-02T14:39:00Z,71.9996911111111,83355.28883672,78513.9,83355.28883672,100.0,0,5.80813635737444,5.520531759061386,5.520531759061386,5.520531759061387,81304.65878978,83355.28883672,3931.05779988,0.38962272,4320,[]
1769879541915,ETHUSDT,LONG,SHORT,2026-01-31T17:12:21.915000Z,2026-01-31T19:00:53.026000Z,2026-02-03T19:00:00Z,71.98527055555556,2387.5,2122.38,2387.5,100.0,0,11.104502617801042,10.81689801948799,10.81689801948799,10.81689801948799,2355.0,2387.5,6162.52,0.09378365,4320,[]
1769879458785,BTCUSDT,LONG,SHORT,2026-01-31T17:10:58.785000Z,2026-01-31T19:16:32.025000Z,2026-02-03T19:16:00Z,71.99110416666667,78285.7749032,74248.5,78285.7749032,100.0,0,5.1570989853419364,4.869494387028882,4.869494387028882,4.869494387028882,78106.05018715,78285.7749032,2785.01419918,0.02554295,4320,[]
1769987159255,ETHUSDT,LONG,SHORT,2026-02-01T23:05:59.255000Z,2026-02-02T03:58:29.663000Z,2026-02-05T03:58:00Z,71.99176027777777,2238.67,2107.22,2238.67,100.0,0,5.871789946709442,5.584185348396389,5.584185348396389,5.584185348396388,2208.59868775,2238.67,9225.90866986,0.09294313,4320,[]
1770010076101,ETHUSDT,LONG,SHORT,2026-02-02T05:27:56.101000Z,2026-02-02T14:35:54.555000Z,2026-02-05T14:35:00Z,71.98484583333334,2353.86,2085.01,2353.86,100.0,0,11.421664839880021,11.134060241566969,11.134060241566969,11.134060241566969,2192.55000669,2353.86,1445.66015999,0.51058385,4320,[]
1770043443814,ETHUSDT,LONG,SHORT,2026-02-02T14:44:03.814000Z,2026-02-02T14:47:11.791000Z,2026-02-05T14:47:00Z,71.99672472222223,2360.86222627,2086.01,2360.86222627,100.0,0,11.642027358125318,11.354422759812264,11.354422759812264,11.354422759812264,2349.62100286,2360.86222627,2111.23664923,0.02647315,4320,[]
1770129863735,ETHUSDT,LONG,SHORT,2026-02-03T14:44:23.735000Z,2026-02-03T19:19:44.097000Z,2026-02-06T19:19:00Z,71.98775083333334,2188.78571174,2040.11,2188.78571174,100.0,0,6.792611581049137,6.5050069827360835,6.5050069827360835,6.5050069827360835,2163.70030559,2188.78571174,14001.99640977,0.0771797,4320,[]
1770212954023,ETHUSDT,LONG,SHORT,2026-02-04T13:49:14.023000Z,2026-02-04T18:40:18.859000Z,2026-02-07T18:40:00Z,71.99476138888889,2157.21690906,2095.2,2157.21690906,100.0,0,2.874857359013743,2.58725276070069,2.58725276070069,2.5872527607006903,2138.79491976,2157.21690906,6608.68601984,0.05568336,4320,[]
1770288742155,ETHUSDT,LONG,SHORT,2026-02-05T10:52:22.155000Z,2026-02-06T01:04:34.085000Z,2026-02-09T01:04:00Z,71.99053194444444,1893.18677975,2084.41,1893.18677975,100.0,0,-10.100599808501274,-10.388204406814328,-10.388204406814328,-10.388204406814328,1885.53257348,1893.18677975,3952.40248958,0.02474206,4320,[]
1770808361093,ETHUSDT,LONG,SHORT,2026-02-11T11:12:41.093000Z,2026-02-12T07:30:44.136000Z,2026-02-15T07:30:00Z,71.98774,1974.22,2084.45,1974.22,100.0,0,-5.583470940422029,-5.871075538735083,-5.871075538735083,-5.871075538735082,1917.10564818,1974.22,15986.76398963,0.20646862,4320,[]
1771808969450,BTCUSDT,LONG,SHORT,2026-02-23T01:09:29.450000Z,2026-02-23T06:27:13.270000Z,2026-02-26T06:27:00Z,71.99631388888889,65337.32466683,68319.7,65337.32466683,100.0,0,-4.564581345161919,-4.852185943474973,-4.852185943474973,-4.852185943474973,64924.88977457,65337.32466683,6622.87949952,0.05649316,4320,[]
1771811653316,ETHUSDT,LONG,SHORT,2026-02-23T01:54:13.316000Z,2026-02-23T06:55:18.818000Z,2026-02-26T06:55:00Z,71.99477277777778,1879.32,2062.07,1879.32,100.0,0,-9.724261967094494,-10.011866565407548,-10.011866565407548,-10.011866565407548,1852.99,1879.32,4624.62753,0.09664637,4320,[]
1771867894034,ETHUSDT,LONG,SHORT,2026-02-23T17:31:34.034000Z,2026-02-23T19:45:04.115000Z,2026-02-26T19:45:00Z,71.99885694444444,1853.94,2023.17,1853.94,100.0,0,-9.12812712385514,-9.415731722168195,-9.415731722168195,-9.415731722168195,1849.19716117,1853.94,343.99809999,0.01515007,4320,[]
1771906817903,ETHUSDT,LONG,SHORT,2026-02-24T04:20:17.903000Z,2026-02-25T13:03:18.097000Z,2026-02-28T13:03:00Z,71.99497305555556,1956.25,1865.35,1956.25,100.0,0,4.6466453674121455,4.359040769099091,4.359040769099091,4.359040769099091,1818.30042393,1956.25,22570.34398987,0.52643165,4320,[]
1772031346575,ETHUSDT,SHORT,LONG,2026-02-25T14:55:46.575000Z,2026-02-26T15:21:58.597000Z,2026-03-01T15:21:00Z,71.98372305555556,2015.0,2009.0,2015.0,100.0,0,-0.2977667493796526,-0.5853713476927058,-0.5853713476927058,-0.5853713476927058,2028.2729863,2015.0,8692.43891171,0.04209164,4320,[]
1772203549057,ETHUSDT,LONG,SHORT,2026-02-27T14:45:49.057000Z,2026-02-28T13:49:02.889000Z,2026-03-03T13:49:00Z,71.9991975,1900.0,1943.74,1900.0,100.0,0,-2.302105263157895,-2.5897098614709484,-2.5897098614709484,-2.5897098614709484,1877.92956217,1900.0,15353.43249994,0.11470838,4320,[]
1772208282416,BTCUSDT,LONG,SHORT,2026-02-27T16:04:42.416000Z,2026-02-28T19:35:05.398000Z,2026-03-03T19:35:00Z,71.99850055555555,66296.5,68341.2,66296.5,100.0,0,-3.0841748810268976,-3.371779479339951,-3.371779479339951,-3.371779479339951,66000.0,66296.5,782.167,0.04129504,4320,[]
1772464105053,ETHUSDT,SHORT,LONG,2026-03-02T15:08:25.053000Z,2026-03-03T05:11:30.877000Z,2026-03-06T05:11:00Z,71.99142305555556,2002.0,2065.33,2002.0,100.0,0,3.16333666333666,2.8757320650236067,2.8757320650236067,2.8757320650236067,2028.02942871,2002.0,11892.29935659,0.12152061,4320,[]
