id,symbol,lead_side,side,lead_opened_utc,entry_utc,exit_utc,hold_h,entry,exit,avg_entry,notional,dca_fills,gross_ret_pct,net_ret_pct,pnl,ret_on_100usdt_pct,lead_avg_cost,lead_avg_close,lead_pnl,lead_roi,candles,fills_json
1768318446214,BTCUSDT,SHORT,LONG,2026-01-13T15:34:06.214000Z,2026-01-19T00:41:28.787000Z,2026-01-22T00:41:00Z,71.99200361111112,92800.23537935,89925.6,92648.17309106338,100.0,1,-2.938614977747451,-3.2262195760605046,-3.2262195760605046,-3.2262195760605046,93867.26090427,92800.23537935,15906.14949931,0.183372,4320,"[{""t"":1768784400000,""utc"":""2026-01-19T01:00:00Z"",""level"":92521.83467321194,""notional"":54.54545454545455}]"
1768319820555,ETHUSDT,SHORT,LONG,2026-01-13T15:57:00.555000Z,2026-01-20T06:18:33.705000Z,2026-01-23T06:18:00Z,71.9906375,3132.73,2969.72,3127.5967146108333,100.0,1,-5.047860354671016,-5.335464952984069,-5.335464952984069,-5.335464952984069,3183.62235,3132.73,3198.63508999,0.11426097,4320,"[{""t"":1768890720000,""utc"":""2026-01-20T06:32:00Z"",""level"":3123.33181,""notional"":54.54545454545455}]"
1768891991869,ETHUSDT,LONG,SHORT,2026-01-20T06:53:11.869000Z,2026-01-20T15:35:04.969000Z,2026-01-23T15:35:00Z,71.99861972222222,3033.72,2925.65,3035.8260976062284,100.00000000000001,1,3.629196602964279,3.3415920046512255,3.341592004651226,3.341592004651226,3026.91397497,3033.72,1484.63227006,0.01106325,4320,"[{""t"":1768923360000,""utc"":""2026-01-20T15:36:00Z"",""level"":3036.7537199999992,""notional"":69.4441524663458}]"
1768933238471,ETHUSDT,LONG,SHORT,2026-01-20T18:20:38.471000Z,2026-01-21T19:35:28.242000Z,2026-01-24T19:35:00Z,71.992155,3004.58937923,2956.09,3006.6752535029373,100.00000000000001,1,1.6824315643667402,1.3948269660536872,1.3948269660536874,1.3948269660536874,2947.42218543,3004.58937923,8391.34370933,0.13070619,4320,"[{""t"":1769024160000,""utc"":""2026-01-21T19:36:00Z"",""level"":3007.5939686092297,""notional"":69.4441524663458}]"
1769369503408,ETHUSDT,LONG,SHORT,2026-01-25T19:31:43.408000Z,2026-01-26T02:22:32.596000Z,2026-01-29T02:22:00Z,71.99094555555556,2877.9,2993.95,2879.8979227815894,100.00000000000001,1,-3.960281936251812,-4.2478865345648655,-4.2478865345648655,-4.2478865345648655,2816.40156783,2877.9,1208.13669994,0.15097403,4320,"[{""t"":1769394180000,""utc"":""2026-01-26T02:23:00Z"",""level"":2880.7778999999996,""notional"":69.4441524663458}]"
1769740011639,BTCUSDT,LONG,SHORT,2026-01-30T02:26:51.639000Z,2026-01-30T14:39:01.112000Z,2026-02-02T14:39:00Z,71.9996911111111,83355.28883672,78513.9,83413.15652862482,100.00000000000001,1,5.8734817533773045,5.58587715506425,5.585877155064251,5.58587715506425,81304.65878978,83355.28883672,3931.05779988,0.38962272,4320,"[{""t"":1769784000000,""utc"":""2026-01-30T14:40:00Z"",""level"":83438.64412555672,""notional"":69.4441524663458}]"
1769879541915,ETHUSDT,LONG,SHORT,2026-01-31T17:12:21.915000Z,2026-01-31T19:00:53.026000Z,2026-02-03T19:00:00Z,71.98527055555556,2387.5,2122.38,2389.1574726853073,100.00000000000001,1,11.166173671485167,10.878569073172114,10.878569073172116,10.878569073172116,2355.0,2387.5,6162.52,0.09378365,4320,"[{""t"":1769886360000,""utc"":""2026-01-31T19:06:00Z"",""level"":2389.8875,""notional"":69.4441524663458}]"
1769879458785,BTCUSDT,LONG,SHORT,2026-01-31T17:10:58.785000Z,2026-01-31T19:16:32.025000Z,2026-02-03T19:16:00Z,71.99110416666667,78285.7749032,74248.5,78340.12318950373,100.00000000000001,1,5.2228960370743245,4.935291438761271,4.935291438761272,4.935291438761272,78106.05018715,78285.7749032,2785.01419918,0.02554295,4320,"[{""t"":1769896980000,""utc"":""2026-01-31T22:03:00Z"",""level"":78364.0606781032,""notional"":69.4441524663458}]"
1769987159255,ETHUSDT,LONG,SHORT,2026-02-01T23:05:59.255000Z,2026-02-02T03:58:29.663000Z,2026-02-05T03:58:00Z,71.99176027777777,2238.67,2107.22,2240.2241505241536,100.00000000000001,1,5.937091183176217,5.649486584863164,5.649486584863165,5.6494865848631655,2208.59868775,2238.67,9225.90866986,0.09294313,4320,"[{""t"":1770006120000,""utc"":""2026-02-02T04:22:00Z"",""level"":2240.90867,""notional"":69.4441524663458}]"
1770010076101,ETHUSDT,LONG,SHORT,2026-02-02T05:27:56.101000Z,2026-02-02T14:35:54.555000Z,2026-02-05T14:35:00Z,71.98484583333334,2353.86,2085.01,2355.4941188083926,100.00000000000001,1,11.48311586297766,11.195511264664608,11.19551126466461,11.19551126466461,2192.55000669,2353.86,1445.66015999,0.51058385,4320,"[{""t"":1770043200000,""utc"":""2026-02-02T14:40:00Z"",""level"":2356.21386,""notional"":69.4441524663458}]"
