variant,params,start_iso,end_iso,equity_start,equity_end,net_pct,max_dd_pct,min_total_pnl_pct,orders,first_buys,restart_buys,dca_buys,full_tp_closes,sub_sells,open_position_cost,open_position_qty,commission_paid,notes
dca_permission,"{""freshness_ms"": 7200000, ""use_proxy"": false}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,841.6103647340834,68.32207294681669,-19.567887686217066,-3.9920232333904617,666,246,0,175,245,0,854.6636011345649,13.871571742380048,57.18633935050623,First buy unchanged; DCA adds require active/recent signal only.
dca_permission,"{""freshness_ms"": 21600000, ""use_proxy"": false}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,826.7699225396118,65.35398450792236,-19.889436569427723,-3.5994052183038425,589,205,0,180,204,0,839.5929861566186,13.626968934221551,51.545823413851444,First buy unchanged; DCA adds require active/recent signal only.
dca_permission,"{""freshness_ms"": 86400000, ""use_proxy"": false}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,941.2594975838811,88.2518995167762,-19.889436569427723,-6.82916800724996,653,199,0,256,198,0,955.8582754162369,15.514006476211634,68.52609068232034,First buy unchanged; DCA adds require active/recent signal only.
dca_permission,"{""freshness_ms"": 21600000, ""use_proxy"": true}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,826.7699225396118,65.35398450792236,-19.889436569427723,-3.5994052183038425,589,205,0,180,204,0,839.5929861566186,13.626968934221551,51.545823413851444,First buy unchanged; DCA adds require signal recency or permissive local price proxy.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1045.5571492700017,109.11142985400035,-19.889436569427723,-6.588443431219683,706,196,0,315,195,0,1061.7735662861433,17.233058924410646,82.4258653948961,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 0.8, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1044.767874218005,108.95357484360102,-19.889436569427698,-6.717147013266378,707,196,0,316,195,0,1060.9720497097187,17.22004995260253,82.45867159904031,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1065.336854281452,113.06737085629037,-19.889436569427723,-6.4108244131318814,710,196,0,319,195,0,1075.700459550423,17.577379318775495,83.95622721370248,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.0, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1059.807124916699,111.96142498333978,-19.889436569427698,-6.717147013266378,707,195,0,318,194,0,1070.1169369350655,17.48614230751112,83.42301600047541,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.15, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1077.2396264895337,115.44792529790672,-19.88943656942771,-6.4108244131318814,714,197,0,321,196,0,1087.7190220198434,17.773767476385558,84.98647371574475,Uses alternate TP/trailing only while signal is active/recent.
signal_aware_tp,"{""fresh_callback_percent"": 0.25, ""fresh_tp_percent"": 1.2, ""freshness_ms"": 7200000}",2026-02-23T02:58:00Z,2026-05-24T02:58:00Z,500.0,1075.2889889732487,115.05779779464973,-19.88943656942771,-6.389657769347726,708,195,0,319,194,0,1085.74940868651,17.741583200210954,84.57371835875587,Uses alternate TP/trailing only while signal is active/recent.
