param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
min-mom,0.018,173.598456,2.288598,34,-0.265693,0.391838,2.798331,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.019,173.598456,2.288598,34,-0.265693,0.391838,2.694607,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.019999999999999997,173.598456,2.288598,34,-0.265693,0.391838,2.33817,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.020999999999999998,173.598456,2.288598,34,-0.265693,0.391838,2.28631,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.022,176.993442,2.433232,32,-0.231743,0.417459,2.179845,0.48337514771364076,137254.56396782873,1.4479166666666667
min-mom,0.023,176.993442,2.433232,32,-0.231743,0.417459,2.513327,0.48337514771364076,137254.56396782873,1.4479166666666667
min-mom,0.024,176.993442,2.433232,32,-0.231743,0.417459,2.99865,0.48337514771364076,137254.56396782873,1.4479166666666667
min-mom,0.018,173.598456,2.288598,34,-0.265693,0.391838,2.643736,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.019,173.598456,2.288598,34,-0.265693,0.391838,2.570017,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.019999999999999997,173.598456,2.288598,34,-0.265693,0.391838,2.519655,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.020999999999999998,173.598456,2.288598,34,-0.265693,0.391838,2.250059,0.46366518852715743,91885.62790027077,1.4479166666666667
min-mom,0.022,176.993442,2.433232,32,-0.231743,0.417459,2.376475,0.48337514771364076,137254.56396782873,1.4479166666666667
min-mom,0.023,176.993442,2.433232,32,-0.231743,0.417459,2.893835,0.48337514771364076,137254.56396782873,1.4479166666666667
min-mom,0.024,176.993442,2.433232,32,-0.231743,0.417459,2.53834,0.48337514771364076,137254.56396782873,1.4479166666666667
