param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec
position_notional,60.0,149.507191,2.141998,43,-0.101935,0.363462,2.303689
position_notional,65.0,158.949828,2.518003,40,-0.091502,0.431496,2.681925
position_notional,70.0,162.429432,2.333896,38,-0.123981,0.400101,3.151845
position_notional,75.0,181.869041,3.421987,32,-0.092995,0.547715,2.417011
position_notional,80.0,180.183661,3.074919,33,-0.111456,0.509193,2.4253
position_notional,85.0,179.436691,3.032145,31,-0.111824,0.503986,2.213939
position_notional,90.0,184.109437,3.032145,31,-0.114988,0.503986,2.318486
position_notional,95.0,189.100639,3.054409,30,-0.117974,0.50671,2.312252
position_notional,100.0,193.790146,3.054409,30,-0.120797,0.50671,2.484363
