param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
top-n,8,109.698926,1.190085,23,-0.155379,0.086793,2.286002,0.05603295889532012,4.132443574903113,1.6979166666666667
top-n,10,112.334928,1.25165,23,-0.133853,0.111763,2.432028,0.07090526687733201,6.807853122138078,1.6979166666666667
top-n,12,193.790146,3.054409,30,-0.120797,0.50671,2.444158,0.47647475579412846,119337.55608213648,1.6979166666666667
top-n,14,103.837322,1.075625,26,-0.15675,0.036435,2.337097,0.022425086312652942,0.9451133070509208,1.6979166666666667
