dataset,symbol,bars,start_utc,end_utc,window_return_pct,median_body_or_diff_pct,p75_body_or_diff_pct,median_range_pct,p75_range_pct,range_cost_ratio,body_cost_ratio,median_quote_volume_proxy,sum_quote_volume_proxy,has_ohlcv,rt_cost_pct,downtrend_bonus,tradability_score
COMP_1m_1y,COMP/USDT:USDT,525593,2025-04-18T08:08:00+00:00,2026-04-18T08:07:00+00:00,-34.75548902195609,0.06374840628984517,0.11607661056296908,0.06374840628984517,0.11607661056296908,0.2238561325466692,0.2238561325466692,,,False,0.28477399999999997,0.3475548902195609,1.0191232878595684
akela_1m_30d,PIPPIN/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-69.39972278494508,0.15054887617663715,0.28824829856792245,0.30775878079452035,0.4818436517181557,1.080712357148196,0.5286608896059232,1525.21186165,210046954.90862578,True,0.28477399999999997,0.6939972278494508,3.384082831751766
akela_1m_30d,CYS/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-19.000570017100504,0.16245277912989575,0.32634032634032417,0.3437820805550107,0.5411086485488104,1.207210210746103,0.5704621177842631,337.209795,35069898.919746995,True,0.28477399999999997,0.19000570017100504,3.174888239447474
akela_1m_30d,BEAT/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-12.656467315716268,0.15873015873015817,0.3031158936494749,0.3511231095723155,0.5164189365876815,1.2329886491474487,0.5573899258013659,4677.407575000001,295207666.16081,True,0.28477399999999997,0.1265646731571627,3.149931897253426
akela_1m_30d,DRIFT/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-59.71664698937427,0.11686680196132948,0.23696682464454943,0.2296546068383365,0.45651266373371024,0.806445134873045,0.4103843818653722,4527.285625275,252504286.77562094,True,0.28477399999999997,0.5971664698937427,2.620441121505205
akela_1m_30d,4/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,48.7465181058496,0.12853470437017567,0.2645502645502562,0.2702702702702675,0.4821102672202926,0.9490693331212384,0.45135688079029573,215.4220233,27383124.6419243,True,0.28477399999999997,-0.487465181058496,1.8620303659742765
akela_1m_30d,TESTICLE/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-25.185185185185176,0.09624639076034613,0.1826901404923531,0.11764705882353343,0.2624671916010568,0.41312429794691036,0.3379746422087204,673.384234,36861787.281249,True,0.28477399999999997,0.25185185185185177,1.4160750899543928
akela_1m_30d,IDOL/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-11.477272727272736,0.04496402877697259,0.12366034624896605,0.1311188811188746,0.21561017680034045,0.4604313635334497,0.15789372898148213,4502.4366785,237068768.074419,True,0.28477399999999997,0.11477272727272736,1.1935291833211088
akela_1m_30d,FREEDOMMONEY/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-29.548140740067286,0.055714832921027746,0.24704851473078826,0.0951019188159985,0.37518954891723744,0.33395576427622786,0.19564578550368977,473.703589,26661536.521692,True,0.28477399999999997,0.29548140740067286,1.1590387214568183
akela_1m_30d,KOMA/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,24.273127753303967,0.0783304428122078,0.16233766233765268,0.15576323987538387,0.24541750341876,0.5469714225153416,0.27506177815463423,229.622123,25442717.0954288,True,0.28477399999999997,-0.24273127753303966,1.1262733456522778
akela_1m_30d,PLAYSOUT/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,232.03649047491282,0.1536098310291889,0.3267973856208972,0.3652839736163149,0.643754271132152,1.2827153237876876,0.5394096056142377,785.426532,78627125.895964,True,0.28477399999999997,-2.320364904749128,0.7844753484404845
akela_1m_30d,MAXXING/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,3.4793814432989567,0.04940711462450009,0.14816187065167796,0.06506180871828082,0.21425702043003092,0.22846821942410764,0.17349587611404166,472.4375605,26530810.754669,True,0.28477399999999997,-0.03479381443298957,0.5956385005292674
akela_1m_30d,ETH/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,7.755176256125029,0.03204509986033388,0.06155004766436323,0.06718186667085124,0.10559681910646823,0.23591292277683795,0.11252817975072824,260313.44365,28935077947.371502,True,0.28477399999999997,-0.07755176256125029,0.5068022627431539
akela_1m_30d,BTC/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,10.429085976770436,0.0265435965423666,0.050746814204083446,0.053364735833738575,0.08463021760341527,0.18739328672469602,0.09320933983568233,460069.53203999996,48704185823.61958,True,0.28477399999999997,-0.10429085976770436,0.36370505351737004
akela_1m_30d,SUP/USDT:USDT,52560,2026-03-20T00:44:00+00:00,2026-04-25T12:43:00+00:00,-21.10266159695817,0.0,0.0,0.0,0.0,0.0,0.0,471.2779305,26537678.938607,True,0.28477399999999997,0.21102661596958172,0.21102661596958172
akela_1m_30d,CHECK/USDT:USDT,723,2026-03-20T05:00:00+00:00,2026-03-20T17:23:00+00:00,-4.063411078717194,0.0,0.02710557017162607,0.0,0.07216308858017939,0.0,0.0,0.0,64841.21387199999,True,0.28477399999999997,0.04063411078717194,0.04063411078717194
futures_2m_2000b,BURNIE/USDT:USDT,262,2026-04-07T08:30:00+00:00,2026-04-07T17:12:00+00:00,-16.16004962779156,0.7985257985257979,1.7468944099378843,0.7985257985257979,1.7468944099378843,2.804068484221867,2.804068484221867,,,False,0.28477399999999997,0.16160049627791562,8.573805948943516
futures_2m_2000b,ARIA/USDT:USDT,2000,2026-04-07T01:02:00+00:00,2026-04-09T19:40:00+00:00,-35.09513038850452,0.41461102093946783,0.8539132358354804,0.41461102093946783,0.8539132358354804,1.45593003904664,1.45593003904664,,,False,0.28477399999999997,0.3509513038850452,4.718741421024966
futures_2m_2000b,AIOT/USDT:USDT,2000,2026-04-07T01:02:00+00:00,2026-04-09T19:40:00+00:00,4.5693713652727785,0.38564224265795966,0.7535678201428184,0.38564224265795966,0.7535678201428184,1.3542045364322575,1.3542045364322575,,,False,0.28477399999999997,-0.045693713652727785,4.016919895644044
futures_2m_2000b,DRIFT/USDT:USDT,2000,2026-04-07T01:06:00+00:00,2026-04-09T19:44:00+00:00,-32.14631782945736,0.33947623666343657,0.6289308176100623,0.33947623666343657,0.6289308176100623,1.1920899965005114,1.1920899965005114,,,False,0.28477399999999997,0.3214631782945736,3.8977331677961073
futures_2m_2000b,LOL/USDT:USDT,2000,2026-04-07T01:10:00+00:00,2026-04-09T19:48:00+00:00,28.906112383301053,0.3706593835349184,0.9058443200205875,0.3706593835349184,0.9058443200205875,1.3015913796024863,1.3015913796024863,,,False,0.28477399999999997,-0.2890611238330105,3.615713014974448
futures_2m_2000b,NOMINA/USDT:USDT,2000,2026-04-07T01:14:00+00:00,2026-04-09T19:52:00+00:00,68.53526220614827,0.33057851239669506,0.6735376643264381,0.33057851239669506,0.6735376643264381,1.1608451347268187,1.1608451347268187,,,False,0.28477399999999997,-0.6853526220614827,2.7971827821189734
futures_2m_2000b,SIREN/USDT:USDT,2000,2026-04-07T01:18:00+00:00,2026-04-09T19:56:00+00:00,19.868035190615842,0.2722166706867294,0.5251926900330984,0.2722166706867294,0.5251926900330984,0.9559042282186204,0.9559042282186204,,,False,0.28477399999999997,-0.19868035190615843,2.669032332749703
futures_2m_2000b,LAB/USDT:USDT,2000,2026-04-07T01:10:00+00:00,2026-04-09T19:48:00+00:00,46.5607547955184,0.29460317460317315,0.5483891371833718,0.29460317460317315,0.5483891371833718,1.0345157022873337,1.0345157022873337,,,False,0.28477399999999997,-0.465607547955184,2.637939558906817
futures_2m_2000b,PLAYSOUT/USDT:USDT,2000,2026-04-07T01:16:00+00:00,2026-04-09T19:54:00+00:00,-17.02593281540651,0.2335586969883168,0.46747027415924997,0.2335586969883168,0.46747027415924997,0.820154568142867,0.820154568142867,,,False,0.28477399999999997,0.17025932815406508,2.630723032582666
futures_2m_2000b,TRU/USDT:USDT,2000,2026-04-07T01:20:00+00:00,2026-04-09T19:58:00+00:00,-10.310559006211184,0.23809523809524905,0.40872010468580444,0.23809523809524905,0.40872010468580444,0.8360848887020903,0.8360848887020903,,,False,0.28477399999999997,0.10310559006211184,2.611360256168383
futures_2m_2000b,PTB/USDT:USDT,2000,2026-04-07T01:16:00+00:00,2026-04-09T19:54:00+00:00,22.30366492146596,0.26809651474530516,0.4741584754984409,0.26809651474530516,0.4741584754984409,0.9414360677073932,0.9414360677073932,,,False,0.28477399999999997,-0.2230366492146596,2.6012715539075204
futures_2m_2000b,4/USDT:USDT,2000,2026-04-07T01:00:00+00:00,2026-04-09T19:38:00+00:00,-6.739006282124505,0.23543260741613792,0.532931503390975,0.23543260741613792,0.532931503390975,0.8267349105470932,0.8267349105470932,,,False,0.28477399999999997,0.06739006282124504,2.547594794462525
futures_2m_2000b,BEAT/USDT:USDT,2000,2026-04-07T01:04:00+00:00,2026-04-09T19:42:00+00:00,-10.27010050251257,0.2280873248615114,0.42892482974089463,0.2280873248615114,0.42892482974089463,0.8009415356089791,0.8009415356089791,,,False,0.28477399999999997,0.10270100502512569,2.505525611852063
futures_2m_2000b,REDSTONE/USDT:USDT,2000,2026-04-07T01:16:00+00:00,2026-04-09T19:54:00+00:00,1.6364699006429007,0.23937761819270584,0.49034635313352226,0.23937761819270584,0.49034635313352226,0.840588038910525,0.840588038910525,,,False,0.28477399999999997,-0.016364699006429007,2.505399417725146
futures_2m_2000b,CYS/USDT:USDT,2000,2026-04-07T01:06:00+00:00,2026-04-09T19:44:00+00:00,-13.31431288635283,0.22241992882562298,0.43122043378656094,0.22241992882562298,0.43122043378656094,0.781040154036615,0.781040154036615,,,False,0.28477399999999997,0.1331431288635283,2.4762635909733732
futures_2m_2000b,XPIN/USDT:USDT,2000,2026-04-07T01:22:00+00:00,2026-04-09T20:00:00+00:00,32.36281179138323,0.26411107757319885,0.5324914635781315,0.26411107757319885,0.5324914635781315,0.9274409797706212,0.9274409797706212,,,False,0.28477399999999997,-0.3236281179138323,2.4586948213980313
futures_2m_2000b,TRIA/USDT:USDT,2000,2026-04-07T01:20:00+00:00,2026-04-09T19:58:00+00:00,-15.645782289114463,0.21542438604050593,0.40033806404554084,0.21542438604050593,0.40033806404554084,0.7564749100708139,0.7564749100708139,,,False,0.28477399999999997,0.15645782289114463,2.425882553103586
futures_2m_2000b,STO/USDT:USDT,2000,2026-04-07T01:18:00+00:00,2026-04-09T19:56:00+00:00,-4.675756568007983,0.2250193375993353,0.4409153595428339,0.2250193375993353,0.4409153595428339,0.7901681248967086,0.7901681248967086,,,False,0.28477399999999997,0.04675756568007983,2.4172619403702056
futures_2m_2000b,RIVER/USDT:USDT,2000,2026-04-07T01:18:00+00:00,2026-04-09T19:56:00+00:00,-20.088882193431758,0.20679733860816119,0.3856706236829404,0.20679733860816119,0.3856706236829404,0.7261805453031569,0.7261805453031569,,,False,0.28477399999999997,0.20088882193431756,2.3794304578437884
futures_2m_2000b,FREEDOMMONEY/USDT:USDT,2000,2026-04-07T01:08:00+00:00,2026-04-09T19:46:00+00:00,-36.459901636053395,0.18915510718789183,0.5644126520991557,0.18915510718789183,0.5644126520991557,0.6642288523105756,0.6642288523105756,,,False,0.28477399999999997,0.36459901636053393,2.357285573292261
futures_2m_2000b,BNLIFE/USDT:USDT,2000,2026-04-07T01:04:00+00:00,2026-04-09T19:42:00+00:00,15.966509988249133,0.23792862141358082,0.4450389794349493,0.23792862141358082,0.4450389794349493,0.8354998048051466,0.8354998048051466,,,False,0.28477399999999997,-0.15966509988249133,2.3468343145329484
futures_2m_2000b,PRL/USDT:USDT,2000,2026-04-07T01:16:00+00:00,2026-04-09T19:54:00+00:00,0.698080279232105,0.22197558268591094,0.3959277284734327,0.22197558268591094,0.3959277284734327,0.7794798074469964,0.7794798074469964,,,False,0.28477399999999997,-0.00698080279232105,2.331458619548668
futures_2m_2000b,APR/USDT:USDT,2000,2026-04-07T01:02:00+00:00,2026-04-09T19:40:00+00:00,-17.607117771013815,0.20457504184489303,0.4207670387696576,0.20457504184489303,0.4207670387696576,0.7183768245868409,0.7183768245868409,,,False,0.28477399999999997,0.17607117771013814,2.331201651470661
