idx,name,risk_ratio,custom,total_pnl_mtm_eval,realized_pnl_total,unrealized_pnl_total,return_mtm_pct_on_start,mdd_mtm_%,mdd_realized_%,trades_total,trades_long,trades_short,total_order_events,margin_call_events_total,elapsed_sec,mods,error,abs_mdd,abs_unr,tail_ratio
21,tp_current_s0.4_l0.7,9.142585780264602,9.108002510642564,163.43104198028837,249.92612400974227,-86.4950820294539,81.71552099014419,-17.8758007754299,-1.7291634811018732,5869,2510,3359,11230,0,2.4708354473114014,"{""strategy_params_long.subSellTPPercent"": 1.155, ""strategy_params_long.tpPercent"": 0.7, ""strategy_params_short.subSellTPPercent"": 0.96, ""strategy_params_short.tpPercent"": 0.4}",,17.8758007754299,86.4950820294539,0.5292451237010787
22,tp_current_s0.5_l0.9,8.850007092677707,8.716780917416404,151.63171262223787,247.6478779008962,-96.01616527865832,75.81585631111894,-17.13351311861597,-1.6241710577495676,4818,1545,3273,9201,0,3.888667106628418,"{""strategy_params_long.subSellTPPercent"": 1.485, ""strategy_params_long.tpPercent"": 0.9, ""strategy_params_short.subSellTPPercent"": 1.2, ""strategy_params_short.tpPercent"": 0.5}",,17.13351311861597,96.01616527865832,0.6332195529431544
27,combo_l2_s1.5_st0.33_lt0.55,8.29529230352186,8.24865497090093,135.6351133469518,202.2586633669297,-66.62355001997788,67.8175566734759,-16.350854000571672,-2.3318666310465144,6355,2850,3505,12167,0,3.94267201423645,"{""strategy_params_long.maxLongInvestPct"": 2, ""strategy_params_long.subSellTPPercent"": 0.907, ""strategy_params_long.tpPercent"": 0.55, ""strategy_params_short.maxShortInvestPct"": 1.5, ""strategy_params_short.subSellTPPercent"": 0.792, ""strategy_params_short.tpPercent"": 0.33}",,16.350854000571672,66.62355001997788,0.4911969207380409
20,tp_current_s0.33_l0.55,8.29529230352186,8.24865497090093,135.6351133469518,202.2586633669297,-66.62355001997788,67.8175566734759,-16.350854000571672,-2.3318666310465144,6355,2850,3505,12167,0,3.915075302124024,"{""strategy_params_long.subSellTPPercent"": 0.907, ""strategy_params_long.tpPercent"": 0.55, ""strategy_params_short.subSellTPPercent"": 0.792, ""strategy_params_short.tpPercent"": 0.33}",,16.350854000571672,66.62355001997788,0.4911969207380409
33,combo_l1.5_s1.0_st0.4_lt0.7,6.7346353872845794,6.5606449650630365,140.39403026153815,231.89274896489897,-91.49871870336084,70.19701513076907,-20.84656736229715,-1.4372205646391694,6606,2610,3996,12725,0,3.0237748622894287,"{""strategy_params_long.maxLongInvestPct"": 1.5, ""strategy_params_long.subSellTPPercent"": 1.155, ""strategy_params_long.tpPercent"": 0.7, ""strategy_params_short.maxShortInvestPct"": 1.0, ""strategy_params_short.subSellTPPercent"": 0.96, ""strategy_params_short.tpPercent"": 0.4}",,20.84656736229715,91.49871870336084,0.651727986816171
32,combo_l1.5_s1.0_st0.33_lt0.55,6.470346440470935,6.422392543161271,112.91378364409456,180.76753588430796,-67.85375224021337,56.45689182204728,-17.450964130427042,-2.2922128117265355,6932,2988,3944,13286,0,3.71009373664856,"{""strategy_params_long.maxLongInvestPct"": 1.5, ""strategy_params_long.subSellTPPercent"": 0.907, ""strategy_params_long.tpPercent"": 0.55, ""strategy_params_short.maxShortInvestPct"": 1.0, ""strategy_params_short.subSellTPPercent"": 0.792, ""strategy_params_short.tpPercent"": 0.33}",,17.450964130427042,67.85375224021337,0.6009341822614775
37,combo_l1.2_s1.0_st0.33_lt0.55,6.139495767423862,6.059138586165873,105.48958661287185,170.44577257581255,-64.95618596294071,52.74479330643592,-17.182125472355423,-2.3554250676818698,6955,3011,3944,13324,0,3.5376782417297363,"{""strategy_params_long.maxLongInvestPct"": 1.2, ""strategy_params_long.subSellTPPercent"": 0.907, ""strategy_params_long.tpPercent"": 0.55, ""strategy_params_short.maxShortInvestPct"": 1.0, ""strategy_params_short.subSellTPPercent"": 0.792, ""strategy_params_short.tpPercent"": 0.33}",,17.182125472355423,64.95618596294071,0.6157592237167299
38,combo_l1.2_s1.0_st0.4_lt0.7,5.993575666180735,5.818869869588796,134.81062294852325,222.96517546318503,-88.15455251466179,67.40531147426162,-22.492520401336343,-1.4671110840491235,6652,2656,3996,12807,0,3.70571231842041,"{""strategy_params_long.maxLongInvestPct"": 1.2, ""strategy_params_long.subSellTPPercent"": 1.155, ""strategy_params_long.tpPercent"": 0.7, ""strategy_params_short.maxShortInvestPct"": 1.0, ""strategy_params_short.subSellTPPercent"": 0.96, ""strategy_params_short.tpPercent"": 0.4}",,22.492520401336343,88.15455251466179,0.6539139912462474
12,expo_l2.0_s1.0,5.819416223835439,5.745919150993848,85.46603513118124,124.2720595133298,-38.80602438214856,42.73301756559063,-14.68635887928508,-3.674853642079497,7846,2898,4948,15421,0,2.912367582321167,"{""strategy_params_long.maxLongInvestPct"": 2.0, ""strategy_params_short.maxShortInvestPct"": 1.0}",,14.68635887928508,38.80602438214856,0.454052002325666
11,expo_l2.3_s1.2,5.436755411367669,5.349816859856469,85.24833870558517,129.96600127907007,-44.7176625734849,42.624169352792585,-15.680002548457503,-4.346927575559951,7806,2830,4976,15388,0,4.067664623260498,"{""strategy_params_long.maxLongInvestPct"": 2.3, ""strategy_params_short.maxShortInvestPct"": 1.2}",,15.680002548457503,44.7176625734849,0.524557583789667
