ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml
2025-08-24T19:54:52,tp,3.25,-0.76013,0.86054,-1.006105,-0.074957,218,32.896477937698364,tune_tmp/t5m5000_s1_rays_tp_3p25.yaml
2025-08-24T19:55:26,tp,3.3,-2.000946,0.868174,-1.013522,-0.070564,240,34.2308783531189,tune_tmp/t5m5000_s1_rays_tp_3p3.yaml
2025-08-24T19:55:54,tp,3.35,26.824977,0.926816,-0.867683,-0.037982,375,28.378363847732544,tune_tmp/t5m5000_s1_rays_tp_3p35.yaml
2025-08-24T19:56:26,tp,3.4,75.465157,0.973357,-0.697463,-0.013501,339,31.994142055511475,tune_tmp/t5m5000_s1_rays_tp_3p4.yaml
2025-08-24T19:57:06,tp,3.45,91.400586,0.99011,-0.634543,-0.00497,317,39.65261912345886,tune_tmp/t5m5000_s1_rays_tp_3p45.yaml
2025-08-24T19:57:33,tp,3.5,-5.288808,0.827967,-1.035535,-0.094112,216,27.31470489501953,tune_tmp/t5m5000_s1_rays_tp_3p5.yaml
2025-08-24T19:58:00,tp,3.55,-1.628267,0.850982,-1.01094,-0.080508,250,26.254302263259888,tune_tmp/t5m5000_s1_rays_tp_3p55.yaml
2025-08-24T19:58:33,tp,3.6,-5.906157,0.21529,-1.059062,-0.645698,31,33.38032650947571,tune_tmp/t5m5000_s1_rays_tp_3p6.yaml
2025-08-24T19:59:04,tp,3.65,-5.906157,0.21529,-1.059062,-0.645698,31,30.582202672958374,tune_tmp/t5m5000_s1_rays_tp_3p65.yaml
2025-08-24T19:59:31,tp,3.7,-5.906157,0.21529,-1.059062,-0.645698,31,27.445510864257812,tune_tmp/t5m5000_s1_rays_tp_3p7.yaml
2025-08-24T19:59:59,tp,3.75,-5.906157,0.21529,-1.059062,-0.645698,31,27.30396556854248,tune_tmp/t5m5000_s1_rays_tp_3p75.yaml
2025-08-24T20:00:35,sl,1.02,-1.990311,0.914947,-1.007553,-0.044415,415,36.2389235496521,tune_tmp/t5m5000_s2_rays_sl_1p02.yaml
2025-08-24T20:01:04,sl,1.04,91.400586,0.99011,-0.634543,-0.00497,317,29.205573081970215,tune_tmp/t5m5000_s2_rays_sl_1p04.yaml
