timestamp,datetime_utc,price,volume_usd,equity,position_value,fees_uncollected_or_compounded,costs_cumulative,hodl50,base_amt,quote_amt,inventory_base_value_usd,inventory_quote_value_usd,active_capital,in_any_range,rebalances
1772324111,2026-03-01 00:15:11+00:00,1963.7742122728412,262.2776753893143,10000.000731937698,10000.0,0.0007319376987608772,0.0,10000.0,1.8952800411805284,6278.097930094269,3721.90206990573,6278.097930094269,10000.0,1,0
1772325083,2026-03-01 00:31:23+00:00,1963.7742122728412,0.0575809999599735,10000.00073209839,10000.0,0.0007320983899235562,0.0,10000.0,1.8952800411805284,6278.097930094269,3721.90206990573,6278.097930094269,10000.0,1,0
1772325335,2026-03-01 00:35:35+00:00,1962.792619664118,9802.275582312508,9998.16476665845,9998.136679372388,0.028087286061493348,0.0,9997.500749825034,1.9012460879888617,6266.384889702574,3731.751789669814,6266.384889702574,10000.0,1,0
1772325695,2026-03-01 00:41:35+00:00,1961.8115177044954,9851.840766641732,9996.324016888993,9996.268436093816,0.05558079517770283,0.0,9995.002748900359,1.9072136264207555,6254.67477705862,3741.5936590351967,6254.67477705862,10000.0,1,0
1772325707,2026-03-01 00:41:47+00:00,1961.4192142474535,4224.522928670857,9995.587131480628,9995.519761319138,0.06737016149027267,0.0,9994.003898180683,1.9096010595316497,6249.991551606464,3745.5282097126733,6249.991551606464,10000.0,1,0
1772327399,2026-03-01 01:09:59+00:00,1960.438798784576,10828.422668095507,9993.742221936198,9993.64463292075,0.0975890154477485,0.0,9991.50764515742,1.9155706868630906,6238.285536579927,3755.3590963408224,6238.285536579927,10000.0,1,0
1772327435,2026-03-01 01:10:35+00:00,1960.438798784576,0.0556219999626121,9993.742222091421,9993.64463292075,0.09758917067193444,0.0,9991.50764515742,1.9155706868630906,6238.285536579927,3755.3590963408224,6238.285536579927,10000.0,1,0
1772327471,2026-03-01 01:11:11+00:00,1957.696241829637,28828.83506832997,9988.546189220182,9988.368147486528,0.1780417336533204,0.0,9984.52477274317,1.9322935847821399,6205.524258447016,3782.8438890395123,6205.524258447016,10000.0,1,0
1772327495,2026-03-01 01:11:35+00:00,1952.6130967059237,51783.6001573924,9978.789612125101,9978.467058018916,0.3225541061855783,0.0,9971.582487698523,1.9633814675471748,6144.742690656606,3833.72436736231,6144.742690656606,10000.0,1,0
1772327615,2026-03-01 01:13:35+00:00,1952.6130967059237,0.0934424998923952,9978.789612385872,9978.467058018916,0.32255436695534545,0.0,9971.582487698523,1.9633814675471748,6144.742690656606,3833.72436736231,6144.742690656606,10000.0,1,0
