timestamp,datetime_utc,price,volume_usd,equity,position_value,fees_uncollected_or_compounded,costs_cumulative,hodl50,base_amt,quote_amt,inventory_base_value_usd,inventory_quote_value_usd,active_capital,in_any_range,rebalances
1772324111,2026-03-01 00:15:11+00:00,1963.7742122728412,262.2776753893143,10000.012589328418,10000.0,0.012589328418687198,0.0,10000.0,2.288962854542672,5504.993773398671,4495.006226601329,5504.993773398671,4000.0,1,0
1772325083,2026-03-01 00:31:23+00:00,1963.7742122728412,0.0575809999599735,10000.012592092307,10000.0,0.012592092306685277,0.0,10000.0,2.288962854542672,5504.993773398671,4495.006226601329,5504.993773398671,4000.0,1,0
1772325335,2026-03-01 00:35:35+00:00,1962.792619664118,9802.275582312508,9998.186227708413,9997.703126388154,0.4831013202576898,0.0,9997.500749825034,2.3909417158007518,5304.780372567375,4692.922753820779,5304.780372567375,4000.0,1,0
1772325695,2026-03-01 00:41:35+00:00,1961.8115177044954,9851.840766641732,9996.263326379269,9995.307336702212,0.9559896770564971,0.0,9995.002748900359,2.4929460736861717,5104.6170163284805,4890.690320373731,5104.6170163284805,4000.0,1,0
1772325707,2026-03-01 00:41:47+00:00,1961.4192142474535,4224.522928670857,9995.480107784071,9994.321341006438,1.1587667776327,0.0,9994.003898180683,2.5337549573239535,5024.565683516499,4969.755657489939,5024.565683516499,4000.0,1,0
1772327399,2026-03-01 01:09:59+00:00,1960.438798784576,10828.422668095507,9993.465724956899,9991.787193891198,1.6785310657012888,0.0,9991.50764515742,2.635795021197598,4824.472368692213,5167.314825198984,4824.472368692213,4000.0,1,0
1772327435,2026-03-01 01:10:35+00:00,1960.438798784576,0.0556219999626121,9993.465727626755,9991.787193891198,1.6785337355572871,0.0,9991.50764515742,2.635795021197598,4824.472368692213,5167.314825198984,4824.472368692213,4000.0,1,0
1772327471,2026-03-01 01:11:11+00:00,1957.696241829637,28828.83506832997,9987.228853823792,9984.166536004954,3.062317818837138,0.0,9984.52477274317,2.9216429438685747,4264.477124825367,5719.689411179586,4264.477124825367,4000.0,1,0
1772327495,2026-03-01 01:11:35+00:00,1952.6130967059237,51783.6001573924,9972.11899569176,9968.021005869776,4.097989821984983,0.0,9971.582487698523,3.370625047897772,3386.4943932595547,6581.526612610221,3386.4943932595547,2500.0,1,0
1772327615,2026-03-01 01:13:35+00:00,1952.6130967059237,0.0934424998923952,9972.11899756061,9968.021005869776,4.097991690834981,0.0,9971.582487698523,3.370625047897772,3386.4943932595547,6581.526612610221,3386.4943932595547,2500.0,1,0
1772327795,2026-03-01 01:16:35+00:00,1952.4178549204316,2358.8880784056505,9971.507262847415,9967.362093395011,4.145169452403094,0.0,9971.085379160606,3.3790826926218185,3369.9807110675642,6597.381382327447,3369.9807110675642,2500.0,1,0
1772327819,2026-03-01 01:16:59+00:00,1952.222632657166,1695.9049113396354,9970.880683193716,9966.701595643086,4.179087550629887,0.0,9970.588320328574,3.3875407602174996,3353.4678544978215,6613.2337411452645,3353.4678544978215,2500.0,1,0
1772327831,2026-03-01 01:17:11+00:00,1952.222632657166,0.097142999883692,9970.880685136575,9966.701595643086,4.179089493489884,0.0,9970.588320328574,3.3875407602174996,3353.4678544978215,6613.2337411452645,3353.4678544978215,2500.0,1,0
1772327843,2026-03-01 01:17:23+00:00,1951.6370829812076,6821.885196032565,9969.026120332242,9964.710593134832,4.3155271974105345,0.0,9969.097442018076,3.4129175004460084,3303.934238108871,6660.776355025962,3303.934238108871,2500.0,1,0
1772327843,2026-03-01 01:17:23+00:00,1951.441938787329,3013.846211586941,9968.419560806258,9964.043756684616,4.375804121642273,0.0,9968.60058195988,3.4213772597397885,3287.4246836151233,6676.619073069492,3287.4246836151233,2500.0,1,0
1772327891,2026-03-01 01:18:11+00:00,1951.441938787329,0.0876849999052153,9968.419562559959,9964.043756684616,4.37580587534227,0.0,9968.60058195988,3.4213772597397885,3287.4246836151233,6676.619073069492,3287.4246836151233,2500.0,1,0
1772328287,2026-03-01 01:24:47+00:00,1951.441938787329,1228.975730126558,9968.44414207456,9964.043756684616,4.400385389944802,0.0,9968.60058195988,3.4213772597397885,3287.4246836151233,6676.619073069492,3287.4246836151233,2500.0,1,0
1772328299,2026-03-01 01:24:59+00:00,1951.6370829812076,1296.779085540606,9969.136914106488,9964.710593134832,4.426320971655614,0.0,9969.097442018076,3.4129175004460084,3303.934238108871,6660.776355025962,3303.934238108871,2500.0,1,0
1772328311,2026-03-01 01:25:11+00:00,1951.6370829812076,269.9961984205233,9969.142314030456,9964.710593134832,4.431720895624025,0.0,9969.097442018076,3.4129175004460084,3303.934238108871,6660.776355025962,3303.934238108871,2500.0,1,0
1772328323,2026-03-01 01:25:23+00:00,1951.8322466895058,1477.4115091360743,9969.83711439778,9965.375845271974,4.461269125806746,0.0,9969.594351762278,3.4044581641084535,3320.4446180597424,6644.931227212233,3320.4446180597424,2500.0,1,0
1772328611,2026-03-01 01:30:11+00:00,1951.8322466895058,768.7092180355132,9969.85248858214,9965.375845271974,4.476643310167456,0.0,9969.594351762278,3.4044581641084535,3320.4446180597424,6644.931227212233,3320.4446180597424,2500.0,1,0
1772328815,2026-03-01 01:33:35+00:00,1952.8083580155944,11293.71872707043,9973.380850510996,9968.678332826286,4.702517684708864,0.0,9972.079645947291,3.3621678260242787,3403.0089011149544,6565.669431711332,3403.0089011149544,2500.0,1,0
1772328827,2026-03-01 01:33:47+00:00,1953.7849574949669,8913.199177969,9976.821958063101,9971.941176394834,4.880781668268243,0.0,9974.566183027953,3.3198880586746937,3485.5938267890483,6486.347349605785,3485.5938267890483,2500.0,1,0
1772328839,2026-03-01 01:33:59+00:00,1953.7849574949669,0.0500034999691943,9976.821959063172,9971.941176394834,4.8807826683382425,0.0,9974.566183027953,3.3198880586746937,3485.5938267890483,6486.347349605785,3485.5938267890483,2500.0,1,0
1772328851,2026-03-01 01:34:11+00:00,1955.7396218901877,21076.42665492679,9984.142623919926,9978.250172772152,5.892451147774738,0.0,9979.542988362817,3.125942566331028,3864.7204400454643,6113.529732726688,3864.7204400454643,4000.0,1,0
1772328851,2026-03-01 01:34:11+00:00,1955.7396218901877,2.9764493909063754,9984.142766789497,9978.250172772152,5.892594017345501,0.0,9979.542988362817,3.125942566331028,3864.7204400454643,6113.529732726688,3864.7204400454643,4000.0,1,0
1772328851,2026-03-01 01:34:11+00:00,1955.7396218901877,4.232049779451644,9984.142969927887,9978.250172772152,5.892797155734915,0.0,9979.542988362817,3.125942566331028,3864.7204400454643,6113.529732726688,3864.7204400454643,4000.0,1,0
1772328911,2026-03-01 01:35:11+00:00,1957.3047613043288,16908.339264815007,9989.719171197841,9983.014773757395,6.7043974404460425,0.0,9983.52801730443,2.962494697193274,4184.509797602173,5798.504976155222,4184.509797602173,4000.0,1,0
1772328935,2026-03-01 01:35:35+00:00,1957.5004917804592,498.7908226268922,9990.320964571714,9983.592625171783,6.728339399932134,0.0,9984.026370106161,2.9420683099095517,4224.492461672131,5759.100163499652,4224.492461672131,4000.0,1,0
1772328983,2026-03-01 01:36:23+00:00,1957.5004917804592,1189.0593510486008,9990.378039420566,9983.592625171783,6.785414248782467,0.0,9984.026370106161,2.9420683099095517,4224.492461672131,5759.100163499652,4224.492461672131,4000.0,1,0
1772328995,2026-03-01 01:36:35+00:00,1957.5004917804592,519.2032979875887,9990.402961178868,9983.592625171783,6.810336007085871,0.0,9984.026370106161,2.9420683099095517,4224.492461672131,5759.100163499652,4224.492461672131,4000.0,1,0
1772329007,2026-03-01 01:36:47+00:00,1957.696241829637,2149.2246934798204,9991.080034797327,9984.166536004954,6.913498792372903,0.0,9984.52477274317,2.9216429438685747,4264.477124825367,5719.689411179586,4264.477124825367,4000.0,1,0
1772329031,2026-03-01 01:37:11+00:00,1962.792619664118,52401.25299468207,10007.131885324272,9997.703126388154,9.428758936117664,0.0,9997.500749825034,2.3909417158007518,5304.780372567375,4692.922753820779,5304.780372567375,4000.0,1,0
1772329043,2026-03-01 01:37:23+00:00,1963.5778544873922,8384.683975113649,10009.379765905776,9999.548542138853,9.831223766923122,0.0,9999.500049995,2.3093565873700177,5464.947089064507,4534.601453074345,5464.947089064507,4000.0,1,0
1772329067,2026-03-01 01:37:47+00:00,1965.542316187585,20030.735126370248,10014.677565221045,10003.884866168057,10.792699052988903,0.0,10004.501800420063,2.1054651354376377,5865.504047207754,4138.380818960301,5865.504047207754,4000.0,1,0
