param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
top-n,10,27.811125,0.532431,85,-0.763996,-0.305116,8.225288,-0.2346810181369159,-0.9996724523015035,4.784722222222222
top-n,12,111.388107,1.094989,80,-0.263827,0.045341,8.720029,0.022729804838855783,0.9625800325162615,4.798611111111111
top-n,14,36.828832,0.639195,104,-0.672511,-0.220111,8.680376,-0.18373851069110092,-0.997735985429722,4.920138888888889
top-n,16,65.068908,0.728898,80,-0.367547,-0.156806,9.484765,-0.08631564687650684,-0.9333368808972787,4.760416666666667
