symbol,side,entry_time,exit_time,entry,exit,tp,sl,reason,gross_return,net_return,notional,fees_paid,realized_pnl
M/USDT:USDT,LONG,2025-09-07T23:00:00+00:00,2025-09-07T23:20:00+00:00,1.8547,1.9326000000000005,1.9326000000000005,1.8349399999999998,TP,0.04200140184396427,0.03940140184396426,2.2,0.0044,0.08668308405672139
M/USDT:USDT,LONG,2025-09-07T23:20:00+00:00,2025-09-07T23:25:00+00:00,1.9545,1.9196238236151602,2.0919926184402335,1.9196238236151602,SL,-0.01784404010480417,-0.02044404010480417,2.2,0.0044,-0.044976888230569174
NMR/USDT:USDT,LONG,2025-09-07T23:15:00+00:00,2025-09-07T23:35:00+00:00,19.983,20.357317747813408,20.357317747813408,19.88805110787172,TP,0.018731809428684743,0.016131809428684744,2.2,0.0044,0.03548998074310644
PROMPT/USDT:USDT,LONG,2025-09-07T23:40:00+00:00,2025-09-07T23:50:00+00:00,0.17223,0.17128509362924615,0.17595511165393343,0.17128509362924615,SL,-0.005486305351877371,-0.008086305351877371,2.2,0.0044,-0.017789871774130217
DOLO/USDT:USDT,LONG,2025-09-07T23:40:00+00:00,2025-09-07T23:55:00+00:00,0.195321,0.19450003389227696,0.1985575010016004,0.19450003389227696,SL,-0.00420316354986423,-0.00680316354986423,2.2,0.0044,-0.014966959809701306
M/USDT:USDT,LONG,2025-09-07T23:25:00+00:00,2025-09-08T00:00:00+00:00,1.9088,1.870405264785506,2.060163859980217,1.870405264785506,SL,-0.02011459305034262,-0.022714593050342617,2.2,0.0044,-0.049972104710753765
NMR/USDT:USDT,LONG,2025-09-07T23:35:00+00:00,2025-09-08T00:00:00+00:00,20.415,20.300682977195027,20.86567287836575,20.300682977195027,SL,-0.005599658231935926,-0.008199658231935926,2.2,0.0044,-0.01803924811025904
IDOL/USDT:USDT,LONG,2025-09-07T23:40:00+00:00,2025-09-08T00:00:00+00:00,0.03093,0.030717910798855524,0.03176612088912726,0.030717910798855524,SL,-0.006857070842045739,-0.00945707084204574,2.2,0.0044,-0.02080555585250063
FHE/USDT:USDT,LONG,2025-09-07T23:40:00+00:00,2025-09-08T00:05:00+00:00,0.05384,0.053518685517253216,0.0551067205569825,0.053518685517253216,SL,-0.005967951016842183,-0.008567951016842183,2.2,0.0044,-0.018849492237052803
PYTH/USDT:USDT,LONG,2025-09-07T23:30:00+00:00,2025-09-08T00:10:00+00:00,0.16641,0.16551903140623805,0.16992247234079225,0.16551903140623805,SL,-0.005354056810059181,-0.00795405681005918,2.2,0.0044,-0.0174989249821302
NMR/USDT:USDT,LONG,2025-09-08T00:00:00+00:00,2025-09-08T00:10:00+00:00,20.144,19.998161346112617,20.718940847056015,19.998161346112617,SL,-0.007239806090517328,-0.009839806090517328,2.2,0.0044,-0.02164757339913812
BIO/USDT:USDT,LONG,2025-09-07T23:20:00+00:00,2025-09-08T00:15:00+00:00,0.16282,0.1619839890045814,0.1661158125780925,0.1619839890045814,SL,-0.005134571891773609,-0.007734571891773609,2.2,0.0044,-0.01701605816190194
DOLO/USDT:USDT,LONG,2025-09-07T23:55:00+00:00,2025-09-08T00:15:00+00:00,0.194172,0.19341818309815326,0.19714377817074202,0.19341818309815326,SL,-0.0038822121719236263,-0.006482212171923627,2.2,0.0044,-0.01426086677823198
TA/USDT:USDT,LONG,2025-09-07T23:15:00+00:00,2025-09-08T00:25:00+00:00,0.1323,0.14161064577259477,0.14161064577259477,0.1299382752186589,TP,0.0703752514935357,0.0677752514935357,2.2,0.0044,0.14910555328577854
NMR/USDT:USDT,LONG,2025-09-08T00:10:00+00:00,2025-09-08T00:45:00+00:00,19.945,19.796928507617515,20.528743383430953,19.796928507617515,SL,-0.0074239905932556955,-0.010023990593255696,2.2,0.0044,-0.022052779305162532
BIO/USDT:USDT,LONG,2025-09-08T00:15:00+00:00,2025-09-08T01:05:00+00:00,0.16196,0.1646484370855073,0.1646484370855073,0.1612780549831884,TP,0.01659938926591326,0.01399938926591326,2.2,0.0044,0.030798656385009174
PROMPT/USDT:USDT,LONG,2025-09-07T23:50:00+00:00,2025-09-08T01:25:00+00:00,0.17116,0.17023452052725815,0.17480852484446302,0.17023452052725815,SL,-0.0054071013831610915,-0.008007101383161092,2.2,0.0044,-0.017615623042954404
MEME/USDT:USDT,LONG,2025-09-08T01:15:00+00:00,2025-09-08T01:25:00+00:00,0.002594,0.002583479300998806,0.0026354758326008606,0.002583479300998806,SL,-0.004055782190128813,-0.006655782190128813,2.2,0.0044,-0.014642720818283389
BIO/USDT:USDT,LONG,2025-09-08T01:05:00+00:00,2025-09-08T01:35:00+00:00,0.16502,0.1641708687167114,0.16836753678988772,0.1641708687167114,SL,-0.005145626489447279,-0.007745626489447279,2.2,0.0044,-0.017040378276784014
M/USDT:USDT,LONG,2025-09-08T00:00:00+00:00,2025-09-08T01:40:00+00:00,1.8636,1.8294304684023293,1.9983068072600474,1.8294304684023293,SL,-0.0183352283739379,-0.0209352283739379,2.2,0.0044,-0.04605750242266339
NMR/USDT:USDT,LONG,2025-09-08T00:45:00+00:00,2025-09-08T02:05:00+00:00,19.783,19.602287755302985,20.495423272363233,19.602287755302985,SL,-0.00913472399014387,-0.01173472399014387,2.2,0.0044,-0.025816392778316516
M/USDT:USDT,LONG,2025-09-08T01:40:00+00:00,2025-09-08T02:05:00+00:00,1.82,1.8014378701765954,1.8931776271884222,1.8014378701765954,SL,-0.01019897243044212,-0.01279897243044212,2.2,0.0044,-0.028157739346972667
DOLO/USDT:USDT,LONG,2025-09-08T00:15:00+00:00,2025-09-08T02:10:00+00:00,0.192683,0.19185574741842865,0.19594428421581014,0.19185574741842865,SL,-0.004293334552458427,-0.006893334552458427,2.2,0.0044,-0.01516533601540854
BIO/USDT:USDT,LONG,2025-09-08T01:35:00+00:00,2025-09-08T02:30:00+00:00,0.16403,0.167465509705148,0.167465509705148,0.16315855363576734,TP,0.020944398617009075,0.018344398617009074,2.2,0.0044,0.040357676957419965
FHE/USDT:USDT,LONG,2025-09-08T00:05:00+00:00,2025-09-08T02:35:00+00:00,0.05327,0.05450026267471088,0.05450026267471088,0.05295793337031724,TP,0.02309485028554309,0.02049485028554309,2.2,0.0044,0.045088670628194806
MEME/USDT:USDT,LONG,2025-09-08T01:25:00+00:00,2025-09-08T02:35:00+00:00,0.002576,0.0026188536515793135,0.0026188536515793135,0.0025651298054530525,TP,0.016635734308739644,0.014035734308739644,2.2,0.0044,0.03087861547922722
NMR/USDT:USDT,LONG,2025-09-08T02:05:00+00:00,2025-09-08T03:05:00+00:00,19.514,19.35237731395457,20.151166358448325,19.35237731395457,SL,-0.008282396538148495,-0.010882396538148495,2.2,0.0044,-0.023941272383926692
BIO/USDT:USDT,LONG,2025-09-08T02:30:00+00:00,2025-09-08T03:05:00+00:00,0.16758,0.16663083758851965,0.17132189027602834,0.16663083758851965,SL,-0.005663936099059274,-0.008263936099059274,2.2,0.0044,-0.018180659417930404
DOLO/USDT:USDT,LONG,2025-09-08T02:10:00+00:00,2025-09-08T03:10:00+00:00,0.191178,0.19520269870575385,0.19520269870575385,0.19015710081610143,TP,0.021052101736360174,0.018452101736360173,2.2,0.0044,0.04059462381999238
IDOL/USDT:USDT,LONG,2025-09-08T00:00:00+00:00,2025-09-08T03:25:00+00:00,0.03069,0.03152287116603404,0.03152287116603404,0.030478735118859658,TP,0.027138193744999775,0.024538193744999777,2.2,0.0044,0.05398402623899951
BIO/USDT:USDT,LONG,2025-09-08T03:05:00+00:00,2025-09-08T03:35:00+00:00,0.16638,0.17158068756953093,0.17158068756953093,0.16506080120187508,TP,0.031257888986241926,0.028657888986241928,2.2,0.0044,0.06304735576973225
NMR/USDT:USDT,LONG,2025-09-08T03:05:00+00:00,2025-09-08T03:35:00+00:00,19.345,19.19637773452192,19.93091470044242,19.19637773452192,SL,-0.007682722433604457,-0.010282722433604457,2.2,0.0044,-0.022621989353929808
IDOL/USDT:USDT,LONG,2025-09-08T03:25:00+00:00,2025-09-08T03:35:00+00:00,0.03156,0.03130785562054035,0.0325540307267159,0.03130785562054035,SL,-0.007989365635603518,-0.010589365635603518,2.2,0.0044,-0.02329660439832774
PROMPT/USDT:USDT,LONG,2025-09-08T01:25:00+00:00,2025-09-08T03:40:00+00:00,0.16976,0.17282766579133246,0.17282766579133246,0.1689818603846376,TP,0.018070604331600314,0.015470604331600314,2.2,0.0044,0.034035329529520694
DOLO/USDT:USDT,LONG,2025-09-08T03:10:00+00:00,2025-09-08T03:50:00+00:00,0.195339,0.19420976043310315,0.19979080983103575,0.19420976043310315,SL,-0.0057809222269842005,-0.008380922226984201,2.2,0.0044,-0.018438028899365244
MEME/USDT:USDT,LONG,2025-09-08T02:35:00+00:00,2025-09-08T03:55:00+00:00,0.002626,0.0026128634641249776,0.0026777882664303755,0.0026128634641249776,SL,-0.005002488908995534,-0.0076024889089955335,2.2,0.0044,-0.016725475599790176
PROMPT/USDT:USDT,LONG,2025-09-08T03:40:00+00:00,2025-09-08T03:55:00+00:00,0.1729,0.17218144355251,0.17573277061029713,0.17218144355251,SL,-0.004155907735627522,-0.006755907735627522,2.2,0.0044,-0.01486299701838055
IDOL/USDT:USDT,LONG,2025-09-08T03:35:00+00:00,2025-09-08T04:05:00+00:00,0.03127,0.030969867346282244,0.03245321526946422,0.030969867346282244,SL,-0.009598102133602657,-0.012198102133602657,2.2,0.0044,-0.02683582469392585
DOLO/USDT:USDT,LONG,2025-09-08T03:50:00+00:00,2025-09-08T04:05:00+00:00,0.192686,0.19145354103760398,0.19754473244790738,0.19145354103760398,SL,-0.0063962039919662865,-0.008996203991966286,2.2,0.0044,-0.01979164878232583
PROMPT/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:05:00+00:00,0.17211,0.17138181788807014,0.17498071794126197,0.17138181788807014,SL,-0.004230911114577165,-0.006830911114577165,2.2,0.0044,-0.015028004452069765
BIO/USDT:USDT,LONG,2025-09-08T03:35:00+00:00,2025-09-08T04:10:00+00:00,0.17185,0.17048160938942605,0.1772446168301473,0.17048160938942605,SL,-0.007962703582042185,-0.010562703582042185,2.2,0.0044,-0.02323794788049281
MEME/USDT:USDT,LONG,2025-09-08T03:55:00+00:00,2025-09-08T04:10:00+00:00,0.002611,0.002598223716463291,0.002661368040865872,0.002598223716463291,SL,-0.004893252982270868,-0.007493252982270868,2.2,0.0044,-0.01648515656099591
BIO/USDT:USDT,LONG,2025-09-08T04:10:00+00:00,2025-09-08T04:20:00+00:00,0.17048,0.16876204572675016,0.17725270434646573,0.16876204572675016,SL,-0.010077160213807093,-0.012677160213807093,2.2,0.0044,-0.027889752470375607
