error,elapsed_sec,score,param,value,stage_idx,stage_mode
"ValueError(""could not convert string to float: ''"")",0.00019621849060058594,-1e+30,strategy_params_long.linearDropPercent,0.024614999999999998,7,rays
"ValueError(""could not convert string to float: ''"")",9.202957153320312e-05,-1e+30,strategy_params_long.linearDropPercent,0.034615,7,rays
"ValueError(""could not convert string to float: ''"")",8.869171142578125e-05,-1e+30,strategy_params_long.linearDropPercent,0.039615,7,rays
"ValueError(""could not convert string to float: ''"")",8.797645568847656e-05,-1e+30,strategy_params_long.linearDropPercent,0.044615,7,rays
"ValueError(""could not convert string to float: ''"")",9.202957153320312e-05,-1e+30,strategy_params_long.linearDropPercent,0.049615,7,rays
"ValueError(""could not convert string to float: ''"")",8.606910705566406e-05,-1e+30,strategy_params_long.linearDropPercent,0.054615,7,rays
"ValueError(""could not convert string to float: ''"")",8.606910705566406e-05,-1e+30,strategy_params_long.linearDropPercent,0.059615,7,rays
"ValueError(""could not convert string to float: ''"")",0.00019598007202148438,-1e+30,strategy_params_long.linearDropPercent,0.064615,7,rays
"ValueError(""could not convert string to float: ''"")",0.0002067089080810547,-1e+30,strategy_params_long.linearDropPercent,0.074615,7,rays
"ValueError(""could not convert string to float: ''"")",0.0002002716064453125,-1e+30,strategy_params_short.linearRisePercent,0.183706,8,rays
"ValueError(""could not convert string to float: ''"")",9.5367431640625e-05,-1e+30,strategy_params_short.linearRisePercent,0.193706,8,rays
"ValueError(""could not convert string to float: ''"")",9.34600830078125e-05,-1e+30,strategy_params_short.linearRisePercent,0.198706,8,rays
"ValueError(""could not convert string to float: ''"")",8.606910705566406e-05,-1e+30,strategy_params_short.linearRisePercent,0.203706,8,rays
"ValueError(""could not convert string to float: ''"")",8.726119995117188e-05,-1e+30,strategy_params_short.linearRisePercent,0.208706,8,rays
"ValueError(""could not convert string to float: ''"")",8.487701416015625e-05,-1e+30,strategy_params_short.linearRisePercent,0.213706,8,rays
"ValueError(""could not convert string to float: ''"")",8.392333984375e-05,-1e+30,strategy_params_short.linearRisePercent,0.218706,8,rays
"ValueError(""could not convert string to float: ''"")",8.463859558105469e-05,-1e+30,strategy_params_short.linearRisePercent,0.22370600000000002,8,rays
"ValueError(""could not convert string to float: ''"")",8.463859558105469e-05,-1e+30,strategy_params_short.linearRisePercent,0.233706,8,rays
"ValueError(""could not convert string to float: ''"")",0.00020432472229003906,-1e+30,strategy_params_long.trendMaLen,12.0,9,rays
