symbol,side,entry_time,exit_time,entry,exit,tp,sl,action,reason,gross_return,net_return,notional,fees_paid,realized_pnl
SVSA/USDT:USDT,SHORT,2025-10-26T09:30:00+00:00,2025-10-26T09:51:00+00:00,0.01017,0.010251799802508104,0.009136739336739733,0.010251799802508104,SL,SL,-0.008043245084375992,-0.013243245084375991,90.0,0.18,-1.1918920575938392
BLUAI/USDT:USDT,SHORT,2025-10-26T16:57:00+00:00,2025-10-26T17:00:00+00:00,0.03114,0.03134455065433505,0.028556202261030943,0.03134455065433505,SL,SL,-0.006568742913778073,-0.011768742913778073,90.0,0.18,-1.0591868622400264
BLUAI/USDT:USDT,SHORT,2025-10-26T17:00:00+00:00,2025-10-26T17:30:00+00:00,0.03138,0.03117,0.028788759242385876,0.03158513989331112,EXIT,heat<0.97,0.006692160611854634,0.0014921606118546336,90.0,0.18,0.134294455066917
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:36:00+00:00,0.02839,0.027,0.025933405474147745,0.02839,TP_PARTIAL,TP50,0.04896090172595981,0.043760901725959804,45.0,0.09,1.9692405776681912
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:39:00+00:00,0.02839,0.02716,0.025933405474147745,0.02839,TP_PARTIAL,TP50,0.043325114476928446,0.03812511447692844,22.5,0.045,0.85781507573089
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:42:00+00:00,0.02839,0.02698,0.025933405474147745,0.02839,TP_PARTIAL,TP50,0.0496653751320887,0.044465375132088696,11.25,0.0225,0.5002354702359978
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:45:00+00:00,0.02839,0.02714,0.025933405474147745,0.02839,TP_PARTIAL,TP50,0.04402958788305733,0.03882958788305733,5.625,0.01125,0.21841643184219747
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:51:00+00:00,0.02839,0.02715,0.025933405474147745,0.02839,TP_PARTIAL,TP50,0.04367735117999289,0.03847735117999289,2.8125,0.005625,0.10821755019373
BLUAI/USDT:USDT,SHORT,2025-10-27T06:00:00+00:00,2025-10-27T06:57:00+00:00,0.02839,0.02693,0.025933405474147745,0.02839,EXIT,heat<0.97,0.051426558647411046,0.04622655864741104,2.8125,0.005625,0.13001219619584356
BLUAI/USDT:USDT,SHORT,2025-10-27T07:06:00+00:00,2025-10-27T07:09:00+00:00,0.02644,0.02661771518235957,0.024195176643879164,0.02661771518235957,SL,SL,-0.006721451677744585,-0.011921451677744586,90.0,0.18,-1.0729306509970127
