realized_pnl,equity_end_realized,return_pct,trades,win_rate_pct,mdd_realized_pct,mdd_mtm_pct,max_gross_notional,symbol,bars
49.1842490981553,149.1842490981553,49.1842490981553,76,100.0,0.0,-67.77731038591219,45.00000000000001,ARIA/USDT:USDT,2000
29.20456664410815,129.20456664410816,29.204566644108155,41,100.0,0.0,-12.053529034222157,5.0,CAPTCHA/USDT:USDT,2000
27.820392107560817,127.82039210756082,27.820392107560814,76,100.0,0.0,-8.67357765081994,45.0,FREEDOMMONEY/USDT:USDT,2000
19.27657535144587,119.27657535144587,19.27657535144587,30,100.0,0.0,-6.17852558862724,45.0,7/USDT:USDT,2000
19.015784432495835,119.01578443249583,19.015784432495835,88,100.0,0.0,-10.26497644234407,45.0,CRTR/USDT:USDT,2000
15.151547369952429,115.15154736995243,15.151547369952429,57,100.0,0.0,-11.764352870696504,5.0,MEZO/USDT:USDT,2000
14.205812108820405,114.20581210882041,14.205812108820403,50,100.0,0.0,-4.566779987659224,5.0,AUTISM/USDT:USDT,2000
13.770490252015605,113.7704902520156,13.770490252015605,55,100.0,0.0,-27.24851174161459,45.0,4/USDT:USDT,2000
13.705337884456565,113.70533788445657,13.705337884456565,94,100.0,0.0,-15.580358178268128,17.5,TRU/USDT:USDT,2000
10.999990333888826,110.99999033388883,10.999990333888826,48,100.0,0.0,-10.728438297309687,5.0,TESTICLE/USDT:USDT,2000
10.92370152208578,110.92370152208578,10.92370152208578,35,100.0,0.0,-6.113295548281042,45.0,OXT/USDT:USDT,2000
10.84925424570641,110.8492542457064,10.84925424570641,37,100.0,0.0,-12.559612828692067,45.0,MAXXING/USDT:USDT,2000
10.582838884018583,110.58283888401859,10.582838884018583,34,100.0,0.0,-8.82664680465897,45.0,CHECK/USDT:USDT,2000
10.582555868570411,110.58255586857041,10.582555868570411,101,100.0,0.0,-5.03378216724994,5.0,XNY/USDT:USDT,2000
10.510976492607991,110.510976492608,10.510976492607991,48,100.0,0.0,-28.973550900403282,45.0,DRIFT/USDT:USDT,2000
10.229482053319359,110.22948205331936,10.229482053319359,109,100.0,0.0,-3.4150602606026745,12.5,PLAYSOUT/USDT:USDT,2000
