ts,param,value,equity_end,profit_factor,max_dd,monotonicity,trades,elapsed_sec,yaml,score
2025-09-13T10:05:34,strategy_params.tp_atr_mult,3.9,101.621932,2.536001,-0.479,23.618,22,4.59000301361084,tune_tmp/t5m2880_fix_s1_rays_strategy_params.tp_atr_mult_3p9.yaml,-678.84472446
2025-09-13T10:05:39,strategy_params.tp_atr_mult,4.2,101.665757,2.311004,-0.555,23.043,22,4.80940055847168,tune_tmp/t5m2880_fix_s1_rays_strategy_params.tp_atr_mult_4p2.yaml,-681.57160561
2025-09-13T10:05:44,strategy_params.tp_atr_mult,4.4,101.600227,2.700154,-0.612,21.781,18,4.7490198612213135,tune_tmp/t5m2880_fix_s1_rays_strategy_params.tp_atr_mult_4p4.yaml,-780.42141349
2025-09-13T10:05:44,strategy_params.tp_atr_mult,4.6,101.701316,2.807555,-0.581,23.344,18,4.766642808914185,tune_tmp/t5m2880_fix_s1_rays_strategy_params.tp_atr_mult_4p6.yaml,-775.6566610200001
2025-09-13T10:05:48,strategy_params.sl_atr_mult,1.0,101.689981,2.710689,-0.479,24.809,22,4.59190559387207,tune_tmp/t5m2880_fix_s2_rays_strategy_params.sl_atr_mult_1p0.yaml,-674.6748625633332
2025-09-13T10:05:53,strategy_params.sl_atr_mult,1.04,101.655957,2.620437,-0.479,24.211,22,4.623771667480469,tune_tmp/t5m2880_fix_s2_rays_strategy_params.sl_atr_mult_1p04.yaml,-676.7821078433333
2025-09-13T10:05:53,strategy_params.sl_atr_mult,1.08,101.621932,2.536001,-0.479,23.618,22,4.59000301361084,tune_tmp/t5m2880_fix_s2_rays_strategy_params.sl_atr_mult_1p08.yaml,-678.84472446
2025-09-13T10:05:58,strategy_params.sl_atr_mult,1.12,101.687901,2.704994,-0.447,24.989,21,4.630021810531616,tune_tmp/t5m2880_fix_s2_rays_strategy_params.sl_atr_mult_1p12.yaml,-698.879680065
2025-09-13T10:05:58,min-mom,0.0,101.689981,2.710689,-0.479,24.809,22,4.59190559387207,tune_tmp/t5m2880_fix_s3_rays_min-mom_0p0.yaml,-674.6748625633332
2025-09-13T10:06:02,min-mom,0.022,101.689981,2.710689,-0.479,24.809,22,4.7710182666778564,tune_tmp/t5m2880_fix_s3_rays_min-mom_0p022.yaml,-674.6748625633332
2025-09-13T10:06:07,min-mom,0.024,101.689981,2.710689,-0.479,24.809,22,4.726818799972534,tune_tmp/t5m2880_fix_s3_rays_min-mom_0p024.yaml,-674.6748625633332
2025-09-13T10:06:12,min-mom,0.026,101.689981,2.710689,-0.479,24.809,22,4.367578506469727,tune_tmp/t5m2880_fix_s3_rays_min-mom_0p026.yaml,-674.6748625633332
2025-09-13T10:06:17,min-atr,0.0,101.689981,2.710689,-0.479,24.809,22,5.268748760223389,tune_tmp/t5m2880_fix_s4_rays_min-atr_0p0.yaml,-674.6748625633332
2025-09-13T10:06:21,min-atr,0.0006,101.689981,2.710689,-0.479,24.809,22,4.463152170181274,tune_tmp/t5m2880_fix_s4_rays_min-atr_0p0006.yaml,-674.6748625633332
2025-09-13T10:06:26,min-atr,0.0008,101.689981,2.710689,-0.479,24.809,22,4.677408695220947,tune_tmp/t5m2880_fix_s4_rays_min-atr_0p0008.yaml,-674.6748625633332
2025-09-13T10:06:31,min-atr,0.001,101.689981,2.710689,-0.479,24.809,22,4.800365209579468,tune_tmp/t5m2880_fix_s4_rays_min-atr_0p001.yaml,-674.6748625633332
2025-09-13T10:06:31,strategy_params.min_qv_24h,200000.0,101.689981,2.710689,-0.479,24.809,22,5.268748760223389,tune_tmp/t5m2880_fix_s5_rays_strategy_params.min_qv_24h_200000p0.yaml,-674.6748625633332
2025-09-13T10:06:36,strategy_params.min_qv_24h,300000.0,101.689981,2.710689,-0.479,24.809,22,4.887991428375244,tune_tmp/t5m2880_fix_s5_rays_strategy_params.min_qv_24h_300000p0.yaml,-674.6748625633332
2025-09-13T10:06:40,strategy_params.min_qv_24h,500000.0,101.689981,2.710689,-0.479,24.809,22,4.497005939483643,tune_tmp/t5m2880_fix_s5_rays_strategy_params.min_qv_24h_500000p0.yaml,-674.6748625633332
2025-09-13T10:06:45,strategy_params.min_qv_24h,800000.0,101.689981,2.710689,-0.479,24.809,22,4.694783449172974,tune_tmp/t5m2880_fix_s5_rays_strategy_params.min_qv_24h_800000p0.yaml,-674.6748625633332
2025-09-13T10:06:45,strategy_params.min_qv_1h,10000.0,101.689981,2.710689,-0.479,24.809,22,5.268748760223389,tune_tmp/t5m2880_fix_s6_rays_strategy_params.min_qv_1h_10000p0.yaml,-674.6748625633332
2025-09-13T10:06:50,strategy_params.min_qv_1h,12000.0,101.689981,2.710689,-0.479,24.809,22,4.690950155258179,tune_tmp/t5m2880_fix_s6_rays_strategy_params.min_qv_1h_12000p0.yaml,-674.6748625633332
2025-09-13T10:06:54,strategy_params.min_qv_1h,15000.0,101.689981,2.710689,-0.479,24.809,22,4.631906986236572,tune_tmp/t5m2880_fix_s6_rays_strategy_params.min_qv_1h_15000p0.yaml,-674.6748625633332
2025-09-13T10:06:59,strategy_params.min_qv_1h,20000.0,101.689981,2.710689,-0.479,24.809,22,4.631474018096924,tune_tmp/t5m2880_fix_s6_rays_strategy_params.min_qv_1h_20000p0.yaml,-674.6748625633332
2025-09-13T10:07:04,top-n,6.0,101.689981,2.710689,-0.479,24.809,22,5.19995379447937,tune_tmp/t5m2880_fix_s7_rays_top-n_6p0.yaml,-674.6748625633332
2025-09-13T10:07:09,top-n,7.0,101.689981,2.710689,-0.479,24.809,22,5.004763126373291,tune_tmp/t5m2880_fix_s7_rays_top-n_7p0.yaml,-674.6748625633332
2025-09-13T10:07:09,top-n,8.0,101.689981,2.710689,-0.479,24.809,22,5.268748760223389,tune_tmp/t5m2880_fix_s7_rays_top-n_8p0.yaml,-674.6748625633332
2025-09-13T10:07:14,side,BOTH,101.689981,2.710689,-0.479,24.809,22,5.209672927856445,tune_tmp/t5m2880_fix_s8_rays_side_BOTH.yaml,-674.6748625633332
2025-09-13T10:07:19,side,LONG,101.689981,2.710689,-0.479,24.809,22,4.799112558364868,tune_tmp/t5m2880_fix_s8_rays_side_LONG.yaml,-674.6748625633332
2025-09-13T10:07:24,open_on_heat,0.0,101.689981,2.710689,-0.479,24.809,22,4.956632614135742,tune_tmp/t5m2880_fix_s9_rays_open_on_heat_0p0.yaml,-674.6748625633332
