param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
top-n,0,127.290081,1.29435,2884,-5.631,6.723,3.850152,,,
top-n,8,127.290081,1.29435,2884,-5.631,6.723,3.692888,,,
top-n,10,127.290081,1.29435,2884,-5.631,6.723,3.590054,,,
top-n,12,127.290081,1.29435,2884,-5.631,6.723,3.769845,,,
top-n,0,103.67911,1.026552,4923,-25.891,0.639,10.134394,,,
top-n,8,103.67911,1.026552,4923,-25.891,0.639,11.663926,,,
top-n,10,103.67911,1.026552,4923,-25.891,0.639,13.379302,,,
top-n,12,103.67911,1.026552,4923,-25.891,0.639,9.624396,,,
