param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
adx_threshold,0,128.294761,1.304993,2883,-5.847,6.968,5.301492,,,
adx_threshold,15,128.294761,1.304993,2883,-5.847,6.968,2.91809,,,
adx_threshold,20,128.294761,1.304993,2883,-5.847,6.968,2.917633,,,
adx_threshold,25,128.294761,1.304993,2883,-5.847,6.968,2.892643,,,
adx_threshold,0,103.657219,1.026365,4924,-25.891,0.636,9.445231,,,
adx_threshold,15,103.657219,1.026365,4924,-25.891,0.636,8.749371,,,
adx_threshold,20,103.657219,1.026365,4924,-25.891,0.636,8.115424,,,
adx_threshold,25,103.657219,1.026365,4924,-25.891,0.636,9.276767,,,
