param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
top-n,8,102.224092,1.227686,336,-0.011782,0.102207,22.752948,0.001275499475210884,0.038981183243301576,17.256944444444443
top-n,10,102.224092,1.227686,336,-0.011782,0.102207,21.356028,0.001275499475210884,0.038981183243301576,17.256944444444443
top-n,12,102.224092,1.227686,336,-0.011782,0.102207,22.533339,0.001275499475210884,0.038981183243301576,17.256944444444443
top-n,8,171.658902,1.262585,341,-0.270301,0.116055,23.465079,0.03193075498501163,1.5675368309064104,17.19097222222222
top-n,10,63.987949,0.779938,193,-0.448692,-0.123635,24.129211,-0.04463542610488236,-0.7458594344654979,9.777777777777779
top-n,12,61.826875,0.717728,152,-0.405202,-0.164329,23.006126,-0.05229870410003601,-0.8004074923700413,8.95138888888889
