param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
min-mom,0,128.294761,1.304993,2883,-5.847,6.968,3.700111,,,
min-mom,0.020,128.792987,1.313789,2860,-4.817,7.162,3.471906,,,
min-mom,0.022,129.372045,1.317745,2905,-4.28,7.3,3.54871,,,
min-mom,0.024,128.30121,1.305455,2888,-4.759,7.063,3.708075,,,
min-mom,0,103.657219,1.026365,4924,-25.891,0.636,9.057389,,,
min-mom,0.020,103.288449,1.023632,4968,-26.341,0.573,10.013508,,,
min-mom,0.022,103.228089,1.023294,4939,-26.8,0.564,10.183905,,,
min-mom,0.024,103.699242,1.026722,4947,-26.452,0.646,10.450109,,,
