param,value,equity_end,profit_factor,trades,max_dd,monotonicity,elapsed_sec,daily_return,monthly_return,backtest_days
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,11.113135,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.019,45.847488,0.658173,92,-0.611421,-0.206146,6.159239,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.020,45.847488,0.658173,92,-0.611421,-0.206146,6.683059,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.021,45.847488,0.658173,92,-0.611421,-0.206146,7.097029,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,6.626609,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,7.657195,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,6.944824,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,6.965208,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
min-mom,0.018,45.847488,0.658173,92,-0.611421,-0.206146,6.800111,-0.17853803811489222,-0.9972608000071396,3.9652777777777777
